key,timestamp,wall_time,imu_temp,imu_ax,imu_ay,imu_az,imu_gx,imu_gy,imu_gz,msu_ax,msu_ay,msu_az,baro_temp,baro
1,1521780321.88263,2018-03-23_124521,62.789,0.051,0.158,0.958,1.816,1.617,6.02,40.86,-37.8,-48.058,60.25,1016.893515625
2,1521780321.92915,2018-03-23_124521,62.807,0.048,0.157,0.954,2.441,2.655,9.933,40.683,-36.913,-47.545,60.26,1016.8941796875
3,1521780321.97668,2018-03-23_124521,62.798,0.038,0.156,0.96,2.464,1.358,8.385,40.329,-37.268,-47.545,60.26,1016.8941796875
4,1521780322.02925,2018-03-23_124522,62.816,0.043,0.16,0.959,1.534,-0.9,4.807,42.451,-35.493,-47.203,60.25,1016.8958984375
5,1521780322.0859,2018-03-23_124522,62.783,0.042,0.16,0.956,1.602,-0.778,1.701,41.036,-36.558,-46.519,60.25,1016.878359375
6,1521780322.13279,2018-03-23_124522,62.834,0.05,0.156,0.959,1.511,-1.03,-0.061,40.86,-37.8,-45.663,60.26,1016.8906640625
7,1521780322.18099,2018-03-23_124522,62.792,0.047,0.16,0.958,1.717,-0.183,-0.084,41.213,-38.51,-48.4,60.26,1016.8906640625
8,1521780322.23455,2018-03-23_124522,62.798,0.048,0.159,0.959,1.648,-0.206,-0.137,42.098,-36.913,-47.203,60.26,1016.9082421875
9,1521780322.3067,2018-03-23_124522,62.789,0.044,0.158,0.956,1.503,-0.298,-0.305,42.982,-36.736,-49.768,60.26,1016.90296875
10,1521780322.35925,2018-03-23_124522,62.837,0.047,0.16,0.956,1.74,-0.229,-0.099,40.86,-38.51,-46.69,60.26,1016.8783984375
11,1521780322.40446,2018-03-23_124522,62.831,0.051,0.16,0.958,2.357,0.71,1.137,39.975,-36.558,-46.519,60.26,1016.897734375
12,1521780322.45385,2018-03-23_124522,62.825,0.057,0.161,0.957,2.274,0.633,7.065,42.805,-37.978,-46.519,60.26,1016.897734375
13,1521780322.50977,2018-03-23_124522,62.813,0.049,0.158,0.955,2.235,0.275,9.918,41.567,-38.865,-46.005,60.26,1016.9117578125
14,1521780322.5646,2018-03-23_124522,62.81,0.047,0.161,0.958,2.007,0.534,7.713,43.336,-37.445,-47.716,60.26,1016.897734375
15,1521780322.60972,2018-03-23_124522,62.804,0.05,0.158,0.957,2.182,0.702,6.21,42.982,-39.22,-46.69,60.26,1016.88046875
16,1521780322.65858,2018-03-23_124522,62.825,0.049,0.16,0.961,1.907,0.221,5.28,45.105,-37.8,-47.374,60.26,1016.88046875
17,1521780322.7119,2018-03-23_124522,62.81,0.059,0.155,0.96,2.411,1.419,10.559,44.751,-38.51,-46.005,60.26,1016.8664453125
18,1521780322.75934,2018-03-23_124522,62.798,0.048,0.159,0.962,2.487,1.343,12.863,43.867,-36.913,-46.177,60.26,1016.8857421875
19,1521780322.80931,2018-03-23_124522,62.813,0.047,0.16,0.957,2.258,1.587,12.749,45.105,-36.381,-45.321,60.26,1016.8892578125
20,1521780322.86897,2018-03-23_124522,62.804,0.051,0.161,0.96,2.495,1.488,11.543,44.574,-38.688,-47.545,60.27,1016.8969140625
21,1521780322.91824,2018-03-23_124522,62.81,0.048,0.167,0.959,2.022,0.71,8.583,44.574,-36.913,-46.177,60.27,1016.8986328125
22,1521780322.96705,2018-03-23_124522,62.819,0.048,0.161,0.961,1.572,-0.16,4.15,43.69,-38.155,-47.032,60.27,1016.905703125
23,1521780323.01428,2018-03-23_124523,62.819,0.052,0.161,0.956,1.877,0.336,5.302,43.867,-35.848,-45.492,60.27,1016.905703125
24,1521780323.06078,2018-03-23_124523,62.81,0.049,0.159,0.962,1.877,0.656,5.692,45.458,-38.51,-46.348,60.27,1016.914453125
25,1521780323.15753,2018-03-23_124523,62.831,0.042,0.162,0.962,1.846,-0.511,2.625,44.751,-37.445,-47.032,60.26,1016.8966015625
26,1521780323.20919,2018-03-23_124523,62.813,0.051,0.159,0.963,1.74,-0.473,1.884,44.751,-37.8,-45.321,60.26,1016.8790625
27,1521780323.25848,2018-03-23_124523,62.804,0.048,0.159,0.96,1.389,-0.862,0.298,44.928,-37.978,-46.177,60.27,1016.8705859375
28,1521780323.30775,2018-03-23_124523,62.831,0.053,0.161,0.958,1.45,-0.679,-0.404,45.458,-38.51,-47.032,60.27,1016.8758203125
29,1521780323.36083,2018-03-23_124523,62.825,0.049,0.159,0.961,1.48,-0.725,-1.366,44.043,-37.445,-46.69,60.27,1016.8758203125
30,1521780323.41158,2018-03-23_124523,62.813,0.045,0.159,0.963,1.617,-0.397,-1.122,44.574,-39.043,-45.15,60.27,1016.89515625
31,1521780323.46303,2018-03-23_124523,62.822,0.048,0.16,0.962,1.625,-0.771,-0.542,44.928,-38.333,-46.519,60.27,1016.891640625
32,1521780323.51108,2018-03-23_124523,62.813,0.048,0.159,0.959,1.793,-0.168,-0.565,44.751,-37.091,-46.005,60.27,1016.88640625
33,1521780323.55653,2018-03-23_124523,62.813,0.05,0.158,0.962,1.228,-0.679,-0.42,44.751,-37.445,-46.348,60.27,1016.88640625
34,1521780323.63239,2018-03-23_124523,62.822,0.05,0.159,0.959,1.472,-0.557,-0.916,45.458,-38.51,-46.005,60.27,1016.8969140625
35,1521780323.68969,2018-03-23_124523,62.807,0.051,0.16,0.956,1.755,-0.587,-0.793,44.928,-37.268,-46.519,60.27,1016.8670703125
36,1521780323.73332,2018-03-23_124523,62.816,0.052,0.156,0.958,1.434,-0.771,-1.266,44.043,-37.445,-46.348,60.27,1016.8884375
37,1521780323.79443,2018-03-23_124523,62.801,0.052,0.159,0.96,1.381,-0.656,-0.633,44.574,-39.043,-47.545,60.27,1016.891953125
38,1521780323.85319,2018-03-23_124523,62.846,0.052,0.158,0.955,1.511,-0.496,-0.999,42.805,-37.978,-46.861,60.27,1016.8779296875
39,1521780323.92059,2018-03-23_124523,62.84,0.051,0.159,0.96,1.289,-0.458,-0.443,44.928,-39.043,-47.203,60.27,1016.8814453125
40,1521780324.02859,2018-03-23_124524,62.843,0.048,0.158,0.96,1.686,-0.298,-1.602,46.166,-37.8,-46.348,60.27,1016.9042578125
41,1521780324.07795,2018-03-23_124524,62.831,0.05,0.161,0.956,1.358,-0.992,-0.984,45.458,-37.091,-46.69,60.27,1016.9007421875
42,1521780324.13522,2018-03-23_124524,62.828,0.046,0.16,0.964,1.442,-0.206,-0.389,45.282,-37.978,-47.203,60.27,1016.8708984375
43,1521780324.18026,2018-03-23_124524,62.828,0.051,0.161,0.957,1.503,-0.275,-0.313,44.397,-37.091,-46.005,60.27,1016.8708984375
44,1521780324.22771,2018-03-23_124524,62.819,0.052,0.159,0.961,1.549,-0.198,-0.328,46.52,-37.445,-44.979,60.27,1016.884921875
45,1521780324.27286,2018-03-23_124524,62.843,0.05,0.157,0.957,1.656,-0.427,-0.343,44.574,-37.623,-46.177,60.27,1016.8972265625
46,1521780324.32249,2018-03-23_124524,62.813,0.053,0.16,0.963,1.434,-0.496,-0.374,45.812,-37.445,-47.716,60.27,1016.8972265625
47,1521780324.36966,2018-03-23_124524,62.837,0.05,0.162,0.964,1.732,-0.458,-0.16,46.343,-38.333,-45.834,60.27,1016.9148046875
48,1521780324.43254,2018-03-23_124524,62.825,0.05,0.159,0.956,1.518,-0.366,-0.206,44.397,-37.8,-45.663,60.27,1016.8761328125
49,1521780324.47926,2018-03-23_124524,62.822,0.049,0.161,0.957,1.678,-0.412,-0.259,45.458,-37.091,-46.69,60.27,1016.890234375
50,1521780324.52629,2018-03-23_124524,62.816,0.049,0.158,0.955,1.549,-0.534,-0.183,46.343,-37.978,-45.15,60.27,1016.8937109375
51,1521780324.57446,2018-03-23_124524,62.84,0.049,0.161,0.958,1.465,-0.359,-0.343,43.513,-36.913,-46.861,60.27,1016.8972265625
52,1521780324.62898,2018-03-23_124524,62.825,0.05,0.16,0.955,1.518,-0.336,-0.328,45.105,-38.155,-47.032,60.27,1016.9059765625
