key,timestamp,wall_time,imu_temp,imu_ax,imu_ay,imu_az,imu_gx,imu_gy,imu_gz,msu_ax,msu_ay,msu_az,baro_temp,baro
9906,1521780876.02281,2018-03-23_125436,66.185,-0.672,0.46399999999999997,-0.6859999999999999,16.907,-8.247,-2.533,10.259,-36.558,-98.16799999999999,63.57,1016.8503125
9907,1521780876.18482,2018-03-23_125436,66.137,-0.67,0.41,-0.66,5.501,-3.54,2.319,11.850999999999999,-38.155,-97.99700000000001,63.57,1016.82203125
9908,1521780876.23264,2018-03-23_125436,66.161,-0.662,0.41200000000000003,-0.67,6.172000000000001,0.389,4.051,9.728,-38.155,-99.70700000000001,63.57,1016.8258984375
9909,1521780876.27756,2018-03-23_125436,66.176,-0.648,0.45,-0.6629999999999999,4.814,3.532,2.235,12.205,-36.736,-98.339,63.57,1016.8329296875
9910,1521780876.32527,2018-03-23_125436,66.179,-0.652,0.445,-0.6859999999999999,1.732,6.294,1.236,12.912,-38.51,-98.681,63.57,1016.8505859375
9911,1521780876.38355,2018-03-23_125436,66.182,-0.6559999999999999,0.431,-0.6920000000000001,0.725,8.324,-0.938,12.735,-36.913000000000004,-98.852,63.57,1016.8432421875
9912,1521780876.4289901,2018-03-23_125436,66.164,-0.6559999999999999,0.428,-0.7040000000000001,-0.725,6.287000000000001,-1.236,12.027999999999999,-36.203,-97.82600000000001,63.57,1016.8203125
9913,1521780876.50876,2018-03-23_125436,66.152,-0.677,0.425,-0.6940000000000001,-2.0140000000000002,6.966,2.319,12.027999999999999,-39.398,-99.536,63.57,1016.8079296875
9914,1521780876.57516,2018-03-23_125436,66.173,-0.6659999999999999,0.44299999999999995,-0.687,-3.0210000000000004,3.403,9.109,12.559000000000001,-38.51,-97.655,63.57,1016.8203125
9915,1521780876.62886,2018-03-23_125436,66.176,-0.66,0.444,-0.6920000000000001,-5.577000000000001,3.738,12.329,11.32,-39.398,-97.82600000000001,63.57,1016.8432421875
9916,1521780876.6747699,2018-03-23_125436,66.152,-0.652,0.44799999999999995,-0.696,-6.439,3.937,11.185,9.905,-40.107,-98.16799999999999,63.57,1016.8432421875
9917,1521780876.7067802,2018-03-23_125436,66.161,-0.6559999999999999,0.456,-0.708,-9.155,4.906000000000001,10.245999999999999,9.728,-41.35,-97.99700000000001,63.58,1016.838203125
9918,1521780876.736,2018-03-23_125436,66.182,-0.67,0.46399999999999997,-0.728,-12.077,0.8240000000000001,12.710999999999999,9.198,-40.817,-96.8,63.58,1016.838203125
9919,1521780876.77751,2018-03-23_125436,66.161,-0.669,0.44299999999999995,-0.73,-15.625,-1.274,8.141,11.144,-41.705,-99.023,63.57,1016.8362109375
9920,1521780876.80595,2018-03-23_125436,66.176,-0.698,0.415,-0.731,-15.747,-0.992,9.163,9.375,-40.285,-99.023,63.57,1016.8362109375
9921,1521780876.8376698,2018-03-23_125436,66.155,-0.687,0.45399999999999996,-0.7020000000000001,-10.422,-6.775,10.498,9.375,-40.995,-99.023,63.57,1016.8097265625
9922,1521780876.8726401,2018-03-23_125436,66.161,-0.643,0.48200000000000004,-0.6559999999999999,-10.635,-12.398,4.135,11.144,-38.51,-97.655,63.57,1016.8097265625
9923,1521780876.90486,2018-03-23_125436,66.17,-0.596,0.484,-0.5760000000000001,-5.684,-22.766,0.244,10.082,-39.93,-99.365,63.57,1016.8329296875
9924,1521780876.9498,2018-03-23_125436,66.188,-0.474,0.519,-0.488,-1.526,-26.833000000000002,0.282,8.844,-38.688,-98.16799999999999,63.57,1016.8329296875
9925,1521780876.9971302,2018-03-23_125436,66.167,-0.546,0.5670000000000001,-0.631,5.234,2.136,-5.669,7.96,-39.575,-100.391,63.57,1016.838203125
9926,1521780877.02839,2018-03-23_125437,66.182,-0.613,0.5670000000000001,-0.698,-3.403,3.281,-13.770999999999999,10.79,-39.575,-99.023,63.57,1016.8347265625
9927,1521780877.0632699,2018-03-23_125437,66.164,-0.58,0.516,-0.711,-7.095,-1.3659999999999999,-18.135,7.96,-38.51,-98.339,63.58,1016.838203125
9928,1521780877.1024802,2018-03-23_125437,66.155,-0.537,0.565,-0.701,-0.687,10.513,-14.084000000000001,8.312999999999999,-38.51,-98.681,63.57,1016.838203125
9929,1521780877.1363802,2018-03-23_125437,66.164,-0.612,0.624,-0.675,-5.569,19.73,-11.475,8.667,-38.155,-97.655,63.57,1016.838203125
9930,1521780877.17315,2018-03-23_125437,66.197,-0.6729999999999999,0.565,-0.631,-17.426,13.1,-13.770999999999999,6.367999999999999,-39.043,-97.82600000000001,63.57,1016.8170703125
9931,1521780877.2149901,2018-03-23_125437,66.155,-0.6629999999999999,0.452,-0.598,-11.276,6.912000000000001,-11.825999999999999,7.7829999999999995,-39.043,-98.16799999999999,63.57,1016.8170703125
9932,1521780877.24701,2018-03-23_125437,66.164,-0.667,0.43700000000000006,-0.5870000000000001,-3.3489999999999998,7.454,-10.796,7.428999999999999,-39.398,-97.484,63.58,1016.8541015625
9933,1521780877.30542,2018-03-23_125437,66.173,-0.7040000000000001,0.444,-0.608,3.716,3.2960000000000003,-10.245999999999999,6.367999999999999,-39.398,-98.852,63.58,1016.8541015625
9934,1521780877.36202,2018-03-23_125437,66.149,-0.6579999999999999,0.45399999999999996,-0.633,8.476,-6.981,-6.966,7.252000000000001,-40.285,-99.70700000000001,63.57,1016.82234375
9935,1521780877.44788,2018-03-23_125437,66.185,-0.6829999999999999,0.473,-0.701,11.955,-4.3260000000000005,-1.534,7.428999999999999,-39.043,-96.8,63.57,1016.8273828125
9936,1521780877.48117,2018-03-23_125437,66.164,-0.679,0.473,-0.667,9.102,-5.898,-0.275,8.49,-37.978,-99.536,63.59,1016.849609375
9937,1521780877.5211198,2018-03-23_125437,66.146,-0.6920000000000001,0.46399999999999997,-0.647,9.148,-3.365,0.9,7.252000000000001,-38.865,-96.971,63.58,1016.8329296875
9938,1521780877.5650802,2018-03-23_125437,66.176,-0.7120000000000001,0.457,-0.643,9.369,-5.058,5.0280000000000005,9.375,-38.865,-99.70700000000001,63.58,1016.8329296875
9939,1521780877.64581,2018-03-23_125437,66.149,-0.659,0.45799999999999996,-0.652,7.95,-5.974,4.86,10.082,-39.575,-99.023,63.58,1016.813515625
9940,1521780877.67958,2018-03-23_125437,66.182,-0.672,0.48,-0.67,5.272,-6.9270000000000005,4.181,8.312999999999999,-38.51,-97.655,63.58,1016.857890625
9941,1521780877.72529,2018-03-23_125437,66.188,-0.659,0.478,-0.6579999999999999,5.058,-8.469,4.524,7.428999999999999,-37.978,-98.16799999999999,63.58,1016.8684765625
9942,1521780877.77553,2018-03-23_125437,66.179,-0.659,0.47200000000000003,-0.66,2.747,-7.797000000000001,2.968,7.96,-39.575,-97.655,63.57,1016.85734375
9943,1521780877.8067,2018-03-23_125437,66.176,-0.664,0.47600000000000003,-0.6579999999999999,2.556,-7.721,0.069,8.667,-38.155,-99.023,63.58,1016.845546875
9944,1521780877.8387802,2018-03-23_125437,66.176,-0.6829999999999999,0.469,-0.669,0.099,-10.681,-3.662,8.667,-38.155,-98.339,63.58,1016.845546875
9945,1521780877.87654,2018-03-23_125437,66.167,-0.67,0.419,-0.621,1.7009999999999998,-12.962,-16.975,7.7829999999999995,-37.978,-99.536,63.58,1016.8629296875
9946,1521780877.93349,2018-03-23_125437,66.164,-0.84,0.326,-0.7120000000000001,3.6010000000000004,1.9909999999999999,-36.247,8.667,-35.671,-98.681,63.58,1016.838203125
9947,1521780878.60747,2018-03-23_125438,66.167,-0.8440000000000001,0.134,-0.564,-0.519,7.301,5.15,7.252000000000001,-27.862,-103.81200000000001,63.58,1016.808515625
9948,1521780878.65206,2018-03-23_125438,66.194,-0.875,0.151,-0.5920000000000001,5.791,7.5760000000000005,5.707000000000001,7.075,-28.75,-103.641,63.58,1016.83671875
9949,1521780878.70876,2018-03-23_125438,66.203,-0.8590000000000001,0.149,-0.569,3.0060000000000002,-0.938,3.0589999999999997,6.545,-29.636999999999997,-103.12799999999999,63.58,1016.8049609375
9950,1521780878.7990801,2018-03-23_125438,66.188,-0.846,0.157,-0.573,2.701,-0.305,1.724,6.545,-30.701999999999998,-103.81200000000001,63.58,1016.818828125
9951,1521780878.86148,2018-03-23_125438,66.2,-0.8290000000000001,0.146,-0.584,0.504,-0.6940000000000001,0.29,6.545,-29.281999999999996,-103.12799999999999,63.58,1016.8211328125
9952,1521780878.90091,2018-03-23_125438,66.158,-0.8370000000000001,0.146,-0.581,1.2819999999999998,-1.122,1.122,7.428999999999999,-31.234,-104.667,63.58,1016.8211328125
9953,1521780878.95017,2018-03-23_125438,66.188,-0.8320000000000001,0.154,-0.5870000000000001,-0.992,-0.008,0.42700000000000005,7.606,-31.057,-105.522,63.58,1016.8369921875
9954,1521780879.00353,2018-03-23_125439,66.167,-0.835,0.146,-0.6,3.647,0.099,-1.236,7.252000000000001,-30.701999999999998,-105.18,63.58,1016.8266796875
9955,1521780879.03954,2018-03-23_125439,66.185,-0.8490000000000001,0.136,-0.594,3.0439999999999996,0.35100000000000003,-1.266,8.667,-29.636999999999997,-105.18,63.58,1016.8266796875
9956,1521780879.0793,2018-03-23_125439,66.194,-0.847,0.14,-0.581,5.218999999999999,-2.693,1.266,4.422,-31.057,-104.49600000000001,63.58,1016.8073046875
9957,1521780879.11427,2018-03-23_125439,66.179,-0.8290000000000001,0.15,-0.583,3.6239999999999997,-1.5719999999999998,0.6409999999999999,5.306,-30.879,-104.667,63.58,1016.8073046875
9958,1521780879.14471,2018-03-23_125439,66.185,-0.8320000000000001,0.14300000000000002,-0.595,4.524,-0.6940000000000001,-0.809,7.428999999999999,-31.944000000000003,-103.98299999999999,63.58,1016.80703125
