key,timestamp,wall_time,imu_temp,imu_ax,imu_ay,imu_az,imu_gx,imu_gy,imu_gz,msu_ax,msu_ay,msu_az,baro_temp,baro
1,1521780477.26156,2018-03-23_124757,41.098,-0.411,0.98,0.114,-11.65,-163.055,20.889,-3.526,12.382,38.519,38.3,1016.67
2,1521780477.30596,2018-03-23_124757,41.107,-0.401,0.834,0.437,-11.078,-41.245,3.853,-4.407,9.728,39.712,38.3,1016.67
3,1521780477.34403,2018-03-23_124757,41.089,-0.41,0.894,0.312,-14.221,57.915,0.069,-3.173,9.198,38.519,38.3,1016.67
4,1521780477.40358,2018-03-23_124757,41.101,-0.426,0.896,0.262,-9.575,101.875,-4.417,-2.116,12.735,41.246,38.31,1016.68
5,1521780477.45578,2018-03-23_124757,41.092,-0.339,0.889,0.099,1.068,73.12,-1.984,-2.116,14.858,42.95,38.31,1016.67
6,1521780477.50645,2018-03-23_124757,41.125,-0.549,0.935,0.188,8.652,18.715,-12.26,-2.644,16.45,40.394,38.31,1016.69
7,1521780477.55763,2018-03-23_124757,41.152,-0.463,0.901,0.145,7.072,47.615,0.221,-3.35,16.45,39.03,38.32,1016.69
8,1521780477.60348,2018-03-23_124757,41.113,-0.483,0.872,0.151,-14.191,115.303,-3.09,-2.997,17.511,39.371,38.32,1016.69
9,1521780477.65176,2018-03-23_124757,41.125,-0.48,0.863,0.0,-48.668,113.457,-15.694,-4.76,21.049,40.735,38.32,1016.7
10,1521780477.70332,2018-03-23_124757,41.098,-0.545,0.936,-0.056,-31.448,14.214,4.86,-1.939,20.341,41.076,38.32,1016.68
11,1521780477.76319,2018-03-23_124757,41.104,-0.488,0.875,0.075,-30.128,2.129,1.663,-0.705,22.641,41.928,38.32,1016.67
12,1521780477.83317,2018-03-23_124757,41.131,-0.509,0.87,0.137,-16.457,-1.617,5.333,1.058,20.872,40.564,38.33,1016.69
13,1521780477.88902,2018-03-23_124757,41.107,-0.499,0.882,0.144,-7.454,11.612,3.471,1.939,20.341,42.098,38.33,1016.68
14,1521780477.93365,2018-03-23_124757,41.14,-0.497,0.869,0.133,-5.081,9.346,2.747,1.41,21.226,42.269,38.33,1016.68
15,1521780477.9897,2018-03-23_124757,41.131,-0.497,0.864,0.13,-2.869,15.32,-1.122,3.35,22.11,42.098,38.34,1016.67
16,1521780478.0428,2018-03-23_124758,41.14,-0.502,0.873,0.124,2.411,16.06,-0.008,1.939,22.464,43.462,38.34,1016.68
17,1521780478.09597,2018-03-23_124758,41.14,-0.515,0.852,0.08,2.434,4.982,1.671,-0.176,19.634,41.757,38.34,1016.67
18,1521780478.14667,2018-03-23_124758,41.146,-0.503,0.868,0.107,1.61,4.326,3.807,2.468,21.226,42.269,38.34,1016.69
