"key","timestamp","wall_time","imu_temp","imu_ax","imu_ay","imu_az","imu_gx","imu_gy","imu_gz","msu_ax","msu_ay","msu_az","baro_temp","baro"
1,1522481367.2894166,"2018-03-31_152927",41.017,0.955,0.091,0.12,6.821,7.118,2.426,-16.219,-3.538,-5.454,38.19,1011.13
2,1522481367.3448915,"2018-03-31_152927",40.984,0.969,0.069,0.151,4.669,1.282,2.258,-16.924,-5.66,-5.795,38.19,1011.14
3,1522481367.3842316,"2018-03-31_152927",41.026,0.98,0.068,0.158,5.112,1.991,1.877,-17.277,-5.306,-5.454,38.19,1011.14
4,1522481367.4241428,"2018-03-31_152927",41.023,0.979,0.07,0.172,1.846,-0.298,1.06,-17.453,-4.068,-7.329,38.2,1011.14
5,1522481367.4661884,"2018-03-31_152927",41.035,0.987,0.073,0.162,3.593,2.808,-0.084,-16.572,-6.368,-5.795,38.2,1011.14
6,1522481367.505772,"2018-03-31_152927",41.011,0.975,0.06,0.167,-1.091,0.87,-1.282,-15.161,-6.368,-6.477,38.2,1011.12
7,1522481367.5508242,"2018-03-31_152927",41.005,0.979,0.061,0.16,-0.702,0.404,-0.565,-16.924,-4.599,-6.136,38.2,1011.14
8,1522481367.5963252,"2018-03-31_152927",41.023,0.969,0.082,0.152,-0.221,0.32,-0.786,-16.572,-4.953,-5.795,38.2,1011.14
9,1522481367.637112,"2018-03-31_152927",41.029,0.965,0.083,0.146,-0.092,0.374,-0.168,-15.867,-5.306,-7.84,38.2,1011.14
10,1522481367.6817815,"2018-03-31_152927",41.035,0.981,0.061,0.18,-2.319,-0.084,1.74,-17.277,-5.306,-6.477,38.21,1011.15
11,1522481367.7281134,"2018-03-31_152927",41.053,0.978,0.047,0.154,-9.27,-7.294,-0.099,-15.514,-5.66,-6.136,38.21,1011.15
12,1522481367.7563498,"2018-03-31_152927",41.041,0.976,0.078,0.141,-8.476,-5.562,-4.395,-17.63,-4.599,-6.136,38.22,1011.14
13,1522481367.7844453,"2018-03-31_152927",41.017,0.983,0.09,0.131,-11.2,-9.01,-2.304,-15.867,-5.66,-7.158,38.22,1011.14
14,1522481367.8127916,"2018-03-31_152927",41.032,0.984,0.093,0.168,-11.261,-11.604,2.693,-14.985,-4.068,-6.306,38.22,1011.12
15,1522481367.8419275,"2018-03-31_152927",41.056,1.012,0.088,0.103,-4.639,-3.365,-1.663,-15.867,-4.953,-5.795,38.22,1011.12
