key,timestamp,wall_time,imu_temp,imu_ax,imu_ay,imu_az,imu_gx,imu_gy,imu_gz,msu_ax,msu_ay,msu_az,baro_temp,baro
4097,1521780688.5292802,2018-03-23_125128,50.005,0.612,-0.051,-0.81,-18.517,-34.576,10.361,-11.635,9.552,-24.884,47.18,1016.56
4098,1521780688.57532,2018-03-23_125128,50.014,0.5760000000000001,-0.091,-0.8340000000000001,-15.854,-32.135,14.671,-9.696,9.728,-25.736,47.18,1016.56
4099,1521780688.6220002,2018-03-23_125128,50.038,0.584,-0.1,-0.889,-7.271,-44.28100000000001,9.216,-9.344,14.327,-26.077,47.19,1016.6
4100,1521780688.67636,2018-03-23_125128,50.011,0.5579999999999999,-0.078,-0.919,-0.107,-25.429,5.608,-7.228,18.219,-25.054,47.19,1016.59
4101,1521780688.72576,2018-03-23_125128,50.026,0.521,-0.087,-0.91,-2.602,-16.602,-1.625,-7.404,19.457,-24.202,47.19,1016.57
4102,1521780688.7808301,2018-03-23_125128,50.029,0.52,-0.064,-0.907,-2.075,-11.238,-1.4269999999999998,-6.523,23.525,-22.668000000000006,47.19,1016.57
4103,1521780688.83377,2018-03-23_125128,50.011,0.499,-0.067,-0.889,-0.259,-19.356,0.946,-6.699,24.763,-21.134,47.19,1016.57
4104,1521780688.88368,2018-03-23_125128,50.032,0.474,-0.076,-0.936,-3.914,-31.616,-0.183,-5.818,27.063,-19.26,47.19,1016.59
4105,1521780688.91445,2018-03-23_125128,50.029,0.471,-0.084,-0.982,-0.893,-16.159000000000002,-1.976,-5.994,28.301,-18.748,47.19,1016.59
4106,1521780688.9623199,2018-03-23_125128,50.035,0.458,-0.064,-0.975,3.708,6.943,-1.808,-4.584,30.07,-16.362000000000002,47.19,1016.57
4107,1521780689.00629,2018-03-23_125129,50.038,0.487,-0.06,-0.946,7.957000000000002,16.105999999999998,2.563,-5.465,29.185,-16.873,47.2,1016.57
4108,1521780689.0437698,2018-03-23_125129,50.026,0.496,-0.087,-0.903,7.057,8.781,5.211,-4.76,29.185,-17.555,47.2,1016.57
4109,1521780689.07354,2018-03-23_125129,50.008,0.495,-0.098,-0.915,3.426,3.517,3.159,-4.407,29.539,-17.214000000000002,47.2,1016.59
4110,1521780689.12142,2018-03-23_125129,50.011,0.48,-0.08199999999999999,-0.908,-2.007,-2.48,1.984,-4.936,29.362,-20.112,47.2,1016.59
4111,1521780689.15441,2018-03-23_125129,50.017,0.483,-0.079,-0.903,-2.617,-8.797,3.525,-5.994,30.07,-16.703,47.2,1016.58
4112,1521780689.20616,2018-03-23_125129,50.035,0.471,-0.076,-0.919,-6.79,-10.666,3.143,-5.289,29.009,-18.407,47.2,1016.59
4113,1521780689.2418401,2018-03-23_125129,50.014,0.474,-0.071,-0.907,-12.665,-17.12,3.983,-4.76,29.893,-16.873,47.2,1016.59
4114,1521780689.2837,2018-03-23_125129,50.011,0.48,-0.078,-0.948,-11.024,-17.914,2.35,-4.584,31.839,-15.339,47.2,1016.6
4115,1521780689.33617,2018-03-23_125129,50.029,0.44,-0.073,-0.981,-2.129,3.082,0.076,-5.113,32.723,-13.124,47.2,1016.59
4116,1521780689.37959,2018-03-23_125129,50.002,0.465,-0.08199999999999999,-0.956,1.419,17.433,0.496,-4.76,32.723,-13.124,47.2,1016.59
4117,1521780689.43375,2018-03-23_125129,50.011,0.486,-0.094,-0.927,4.089,8.552999999999999,2.3040000000000003,-4.231,32.192,-10.908,47.19,1016.57
4118,1521780689.46975,2018-03-23_125129,50.032,0.469,-0.087,-0.918,2.945,3.151,0.473,-5.113,32.723,-13.465,47.19,1016.57
4119,1521780689.51207,2018-03-23_125129,50.029,0.462,-0.083,-0.926,0.069,0.893,0.366,-2.997,33.077,-12.783,47.19,1016.59
4120,1521780689.54145,2018-03-23_125129,50.008,0.48,-0.075,-0.931,0.168,2.228,1.595,-5.465,30.954,-12.442,47.19,1016.58
4121,1521780689.58004,2018-03-23_125129,50.017,0.48,-0.085,-0.914,0.7020000000000001,-2.09,2.632,-5.641,32.9,-12.272,47.19,1016.58
4122,1521780689.6279,2018-03-23_125129,50.026,0.471,-0.066,-0.902,-4.044,-10.505999999999998,1.0759999999999998,-5.994,31.485,-13.294,47.19,1016.57
4123,1521780689.6710901,2018-03-23_125129,50.011,0.46,-0.066,-0.944,-8.209,-10.361,-0.961,-5.289,32.9,-12.272,47.19,1016.57
4124,1521780689.7553804,2018-03-23_125129,50.011,0.468,-0.08,-0.977,4.631,8.095,-2.762,-5.113,32.369,-11.419,47.19,1016.57
4125,1521780689.8132,2018-03-23_125129,49.999,0.486,-0.077,-0.931,6.157,24.033,-1.45,-5.113,34.138000000000005,-11.419,47.19,1016.57
4126,1521780689.86182,2018-03-23_125129,50.014,0.4920000000000001,-0.093,-0.914,2.8,4.807,-0.374,-5.994,31.485,-13.294,47.19,1016.57
4127,1521780689.9269302,2018-03-23_125129,49.99,0.486,-0.073,-0.907,1.7619999999999998,-3.952,2.93,-3.702,31.308000000000003,-12.442,47.18,1016.56
4128,1521780689.98636,2018-03-23_125129,49.999,0.479,-0.087,-0.905,-0.8320000000000001,-13.542,4.356,-5.641,31.485,-13.294,47.19,1016.57
4129,1521780690.0350199,2018-03-23_125130,50.005,0.466,-0.078,-0.925,-7.072,-16.250999999999998,-0.168,-3.702,33.431,-13.465,47.19,1016.56
4130,1521780690.0845802,2018-03-23_125130,50.008,0.447,-0.07200000000000001,-0.969,-7.103,-7.812,-2.205,-4.231,34.669000000000004,-11.59,47.19,1016.57
4131,1521780690.14222,2018-03-23_125130,50.008,0.47,-0.066,-0.945,-0.16,11.284,-2.205,-4.231,33.607,-10.908,47.19,1016.57
4132,1521780690.21536,2018-03-23_125130,50.005,0.5,-0.083,-0.931,4.684,22.255,-1.846,-5.113,32.369,-11.078,47.19,1016.57
4133,1521780690.27629,2018-03-23_125130,50.014,0.475,-0.083,-0.904,1.747,-2.449,0.504,-5.289,30.424,-12.953,47.19,1016.57
4134,1521780690.34016,2018-03-23_125130,50.002,0.484,-0.076,-0.913,1.3119999999999998,-5.814,3.86,-4.231,32.546,-13.635,47.19,1016.57
4135,1521780690.38444,2018-03-23_125130,50.017,0.478,-0.078,-0.914,-2.228,-8.392000000000001,1.579,-6.523,32.015,-13.806,47.19,1016.58
4136,1521780690.43089,2018-03-23_125130,50.002,0.48,-0.069,-0.932,-4.791,-7.027,-0.45,-5.818,32.015,-12.101,47.19,1016.58
4137,1521780690.5232801,2018-03-23_125130,50.02,0.471,-0.059,-0.931,-4.066,-4.654,1.5719999999999998,-4.584,33.607,-11.931,47.19,1016.6
4138,1521780690.5727599,2018-03-23_125130,50.002,0.481,-0.103,-1.014,4.021,15.823,-6.386,-4.76,34.138000000000005,-10.738,47.19,1016.58
4139,1521780690.63149,2018-03-23_125130,50.032,0.495,-0.08,-0.873,5.02,21.042,-0.145,-4.936,31.839,-13.294,47.19,1016.58
4140,1521780690.68096,2018-03-23_125130,50.005,0.4920000000000001,-0.078,-0.903,0.6709999999999999,-0.8009999999999999,-1.915,-4.76,32.015,-12.442,47.19,1016.58
4141,1521780690.7557,2018-03-23_125130,50.02,0.5,-0.08,-0.914,-0.725,-10.689,3.777,-6.17,31.308000000000003,-13.465,47.2,1016.6
4142,1521780690.81813,2018-03-23_125130,50.002,0.478,-0.062,-0.91,-4.791,-11.116,-0.114,-4.76,30.954,-12.101,47.2,1016.6
4143,1521780690.88062,2018-03-23_125130,50.035,0.467,-0.066,-0.925,-5.836,-12.985,0.13699999999999998,-5.641,32.546,-13.294,47.2,1016.61
4144,1521780690.93219,2018-03-23_125130,50.011,0.449,-0.07400000000000001,-0.964,-2.609,-3.319,-4.662,-4.936,32.9,-12.272,47.2,1016.61
4145,1521780690.99034,2018-03-23_125130,50.023,0.5,-0.07400000000000001,-0.976,2.853,43.221,-7.439,-4.936,32.9,-12.272,47.2,1016.58
4146,1521780691.04028,2018-03-23_125131,50.008,0.534,-0.093,-0.866,4.3180000000000005,9.995,-0.099,-4.055,29.893,-11.419,47.2,1016.57
4147,1521780691.07631,2018-03-23_125131,49.99,0.495,-0.059,-0.887,2.0980000000000003,-3.853,-0.595,-4.936,30.07,-14.999,47.2,1016.57
4148,1521780691.12617,2018-03-23_125131,50.038,0.499,-0.065,-0.916,2.464,-12.848,5.974,-4.584,30.424,-13.976,47.2,1016.55
4149,1521780691.1608698,2018-03-23_125131,50.017,0.489,-0.086,-0.934,2.769,-11.063,4.73,-3.878,30.424,-13.976,47.2,1016.58
4150,1521780691.19294,2018-03-23_125131,50.014,0.479,-0.07200000000000001,-0.91,-0.8540000000000001,-7.866,-0.938,-5.994,30.424,-14.658,47.2,1016.58
4151,1521780691.2239,2018-03-23_125131,50.047,0.49,-0.057,-0.924,-3.7,-4.662,-1.755,-5.465,29.539,-14.146,47.2,1016.58
4152,1521780691.2700698,2018-03-23_125131,50.02,0.487,-0.058,-0.918,-6.119,-6.31,-1.022,-3.35,30.954,-13.806,47.2,1016.58
4153,1521780691.31331,2018-03-23_125131,50.02,0.48,-0.069,-0.92,-4.189,-6.577000000000001,0.015,-5.113,32.015,-12.783,47.2,1016.57
4154,1521780691.3438098,2018-03-23_125131,50.023,0.466,-0.073,-0.928,-3.807,-6.096,-2.419,-4.407,31.662,-11.76,47.2,1016.57
4155,1521780691.37391,2018-03-23_125131,50.017,0.474,-0.08800000000000001,-1.01,-0.8320000000000001,7.278,-6.859,-4.231,32.9,-11.931,47.2,1016.59
4156,1521780691.40289,2018-03-23_125131,50.011,0.488,-0.05,-0.944,3.571,23.918000000000006,-3.86,-5.113,32.723,-12.783,47.2,1016.59
4157,1521780691.44103,2018-03-23_125131,50.02,0.515,-0.076,-0.897,2.228,11.909,0.023,-5.818,31.662,-12.442,47.2,1016.59
4158,1521780691.47544,2018-03-23_125131,50.032,0.507,-0.063,-0.909,2.823,0.7709999999999999,1.137,-2.997,33.077,-11.76,47.2,1016.59
4159,1521780691.51054,2018-03-23_125131,50.008,0.481,-0.07,-0.906,0.221,-4.295,0.893,-4.407,32.015,-13.465,47.21,1016.57
4160,1521780691.5549,2018-03-23_125131,50.026,0.489,-0.055,-0.928,2.357,-3.815,3.54,-4.231,33.607,-12.272,47.21,1016.57
4161,1521780691.58342,2018-03-23_125131,50.011,0.493,-0.064,-0.919,2.083,-4.395,4.272,-4.76,31.308000000000003,-13.465,47.21,1016.59
4162,1521780691.6129699,2018-03-23_125131,50.032,0.482,-0.07200000000000001,-0.906,0.168,-6.813,2.762,-3.526,32.192,-12.953,47.21,1016.59
4163,1521780691.64578,2018-03-23_125131,49.999,0.483,-0.068,-0.899,-2.991,-9.315,0.076,-4.231,32.192,-12.272,47.21,1016.61
4164,1521780691.70014,2018-03-23_125131,50.029,0.478,-0.065,-0.948,-5.507999999999999,-3.502,-4.753,-5.465,31.662,-12.101,47.21,1016.58
4165,1521780691.7487302,2018-03-23_125131,50.002,0.487,-0.052000000000000005,-0.934,-0.7859999999999999,5.669,-1.564,-3.878,32.192,-10.226,47.21,1016.58
4166,1521780691.79028,2018-03-23_125131,50.038,0.482,-0.07400000000000001,-0.916,0.916,2.8,-1.64,-5.465,33.077,-11.76,47.21,1016.59
4167,1521780691.83888,2018-03-23_125131,50.035,0.512,-0.057,-0.946,3.38,22.98,-2.434,-4.055,32.723,-13.124,47.21,1016.58
4168,1521780691.89733,2018-03-23_125131,49.996,0.517,-0.084,-0.8809999999999999,5.974,-0.443,4.959,-6.17,33.077,-11.76,47.21,1016.57
4169,1521780691.94246,2018-03-23_125131,50.023,0.485,-0.071,-0.902,2.6860000000000004,-7.652,3.304,-6.17,30.954,-12.101,47.21,1016.57
4170,1521780692.52457,2018-03-23_125132,50.032,0.498,-0.062,-0.943,-4.761,0.259,-4.875,-7.581,33.431,-11.76,47.22,1016.59
4171,1521780692.5815,2018-03-23_125132,50.047,0.493,-0.071,-0.913,-0.8540000000000001,1.419,-1.915,-5.641,32.192,-12.953,47.22,1016.58
4172,1521780692.6361802,2018-03-23_125132,50.02,0.51,-0.063,-0.944,0.5489999999999999,13.359000000000002,-2.67,-5.465,30.954,-12.101,47.22,1016.58
4173,1521780692.69356,2018-03-23_125132,50.062,0.518,-0.08,-0.8959999999999999,3.54,3.059,2.213,-4.231,31.485,-13.294,47.22,1016.58
4174,1521780692.7321699,2018-03-23_125132,50.038,0.498,-0.071,-0.919,4.135,-4.7,3.418,-6.347,31.485,-13.976,47.22,1016.58
4175,1521780692.77298,2018-03-23_125132,50.026,0.487,-0.068,-0.911,2.64,-5.714,4.0280000000000005,-5.641,30.777,-12.953,47.22,1016.55
4176,1521780692.8073,2018-03-23_125132,50.008,0.496,-0.075,-0.922,2.388,-3.426,4.562,-4.407,30.954,-15.169,47.22,1016.55
4177,1521780692.841,2018-03-23_125132,50.047,0.4970000000000001,-0.081,-0.914,-0.145,-1.923,2.396,-4.231,31.839,-12.612,47.22,1016.56
4178,1521780692.8799698,2018-03-23_125132,50.029,0.496,-0.078,-0.897,-4.646,-6.1720000000000015,-1.221,-4.584,30.07,-13.976,47.23,1016.56
4179,1521780692.91048,2018-03-23_125132,50.053,0.498,-0.075,-0.916,-6.348,-7.355,-3.4560000000000004,-4.76,30.954,-14.146,47.23,1016.57
4180,1521780692.94443,2018-03-23_125132,50.062,0.491,-0.071,-0.934,-6.8660000000000005,-4.478,-5.752999999999999,-5.113,29.539,-13.806,47.23,1016.57
4181,1521780692.99422,2018-03-23_125132,50.059,0.489,-0.054000000000000006,-0.918,-3.197,2.411,-4.059,-4.936,30.777,-13.294,47.23,1016.59
4182,1521780693.0262198,2018-03-23_125133,50.053,0.49,-0.065,-0.926,-1.007,3.0980000000000003,-3.471,-5.289,31.485,-11.931,47.23,1016.59
4183,1521780693.06778,2018-03-23_125133,50.032,0.512,-0.059,-0.953,3.685,14.153,-0.778,-6.699,31.131,-11.249,47.23,1016.57
4184,1521780693.1029801,2018-03-23_125133,50.035,0.518,-0.083,-0.922,5.043,6.935,3.716,-6.17,30.954,-13.124,47.23,1016.57
4185,1521780693.13831,2018-03-23_125133,50.023,0.504,-0.073,-0.902,7.095,0.999,4.738,-4.76,32.369,-12.442,47.23,1016.58
4186,1521780693.17194,2018-03-23_125133,50.038,0.488,-0.079,-0.895,4.2189999999999985,-1.3119999999999998,3.616,-5.994,29.716,-14.317,47.23,1016.58
4187,1521780693.2059698,2018-03-23_125133,50.062,0.499,-0.08,-0.905,1.869,-2.914,2.258,-5.113,29.893,-15.51,47.23,1016.55
4188,1521780693.23631,2018-03-23_125133,50.041,0.499,-0.076,-0.917,0.237,-1.663,1.129,-3.702,30.954,-14.487,47.23,1016.55
4189,1521780693.28773,2018-03-23_125133,50.029,0.503,-0.079,-0.903,-2.068,-3.685,-0.443,-3.878,30.424,-13.635,47.23,1016.57
4190,1521780693.3278801,2018-03-23_125133,50.05,0.499,-0.073,-0.906,-4.807,-7.835,-2.029,-4.936,31.839,-14.317,47.23,1016.56
4191,1521780693.3640199,2018-03-23_125133,50.041,0.49,-0.071,-0.925,-6.325,-7.217,-5.2639999999999985,-5.113,32.369,-13.465,47.23,1016.56
4192,1521780693.40084,2018-03-23_125133,50.06800000000001,0.49,-0.056,-0.943,-3.548,1.976,-5.646,-5.465,31.308000000000003,-13.465,47.24,1016.58
4193,1521780693.42975,2018-03-23_125133,50.023,0.501,-0.065,-0.935,0.29,6.21,-4.356,-3.35,32.015,-12.101,47.24,1016.58
4194,1521780693.46397,2018-03-23_125133,50.053,0.508,-0.086,-0.962,3.494,16.197,-8.568,-6.699,31.485,-13.294,47.24,1016.56
4195,1521780693.50629,2018-03-23_125133,50.032,0.517,-0.052000000000000005,-0.898,7.08,17.151,1.579,-5.113,31.308000000000003,-13.806,47.24,1016.56
4196,1521780693.53913,2018-03-23_125133,50.047,0.527,-0.093,-0.877,4.601,-0.122,2.975,-5.818,30.247,-13.806,47.24,1016.57
4197,1521780693.57252,2018-03-23_125133,50.035,0.506,-0.069,-0.907,1.854,-1.3730000000000002,1.015,-5.465,29.893,-12.442,47.24,1016.57
4198,1521780693.61346,2018-03-23_125133,50.07100000000001,0.505,-0.067,-0.901,0.381,-3.937,2.899,-5.289,29.009,-13.294,47.24,1016.57
4199,1521780693.66588,2018-03-23_125133,50.053,0.506,-0.076,-0.915,-0.252,-4.6080000000000005,1.953,-4.407,30.954,-14.487,47.24,1016.58
