pid,drummer_id,song_id,performance_order,difficulty,start_time,first_hit_time
1,1,1,1,normal,3/27/2018 11:53:08,1522122802.43
2,1,1,2,normal,3/27/2018 11:55:29,1522122943
3,1,1,3,normal,3/27/2018 11:57:53,1522123085.22
4,1,2,1,normal,3/27/2018 12:27:53,1522124886.71
5,1,2,2,normal,3/27/2018 12:30:18,1522125031.83
6,1,2,3,normal,3/27/2018 12:32:45,1522125185.07
7,1,3,1,normal,3/27/2018 12:35:45,1522125366.34
8,1,3,2,normal,3/27/2018 12:38:33,1522125536.74
9,1,3,3,normal,3/27/2018 12:41:25,1522125707.98
10,1,4,1,hard,3/27/2018 12:44:52,1522125904.34
11,1,4,2,hard,3/27/2018 12:46:54,1522126028.24
12,1,4,3,hard,3/27/2018 12:49:02,1522126157.1
13,1,4,4,hard,3/27/2018 12:51:07,1522126280.9
14,2,1,1,easy,3/27/2018 13:28:02,1522128496.09
15,2,1,2,easy,3/27/2018 13:30:23,1522128639.28
16,2,1,3,easy,3/27/2018 13:32:32,1522128766.03
17,2,2,1,normal,3/27/2018 13:34:43,1522128894.82
18,2,2,2,normal,3/27/2018 13:37:06,1522129041.54
19,2,2,3,normal,3/27/2018 13:39:31,1522129182.78
20,2,3,1,normal,3/27/2018 13:43:06,1522129410.48
21,2,3,2,normal,3/27/2018 13:46:01,1522129585.31
22,2,3,3,normal,3/27/2018 13:48:54,1522129755.93
23,2,4,1,hard,3/27/2018 13:52:15,1522129948.26
24,2,4,2,hard,3/27/2018 13:54:19,1522130072.43
25,2,4,3,hard,3/27/2018 13:56:20,1522130195.64
26,2,4,4,hard,3/27/2018 13:58:17,1522130311.57
27,3,1,1,easy,3/27/2018 15:01:10,1522134083.08
28,3,1,2,easy,3/27/2018 15:03:21,1522134223.57
29,3,1,3,easy,3/27/2018 15:05:37,1522134350.96
30,3,2,1,normal,3/27/2018 15:07:51,1522134484.8
31,3,2,2,normal,3/27/2018 15:10:15,1522134628.03
32,3,2,3,normal,3/27/2018 15:12:41,1522134773.64
33,3,3,1,normal,3/27/2018 15:15:14,1522134938.64
34,3,3,2,normal,3/27/2018 15:18:09,1522135113.17
35,3,3,3,normal,3/27/2018 15:21:17,1522135303.07
36,3,4,1,hard,3/27/2018 15:24:30,1522135484.82
37,3,4,2,hard,3/27/2018 15:26:48,1522135621.76
38,3,4,3,hard,3/27/2018 15:28:52,1522135745.85
39,3,4,4,hard,3/27/2018 15:30:59,1522135871.71
40,4,1,1,easy,3/27/2018 15:37:57,1522136288.36
41,4,1,2,easy,3/27/2018 15:39:57,1522136408.01
42,4,1,3,easy,3/27/2018 15:41:56,1522136527.69
43,4,2,1,normal,3/27/2018 15:44:09,1522136660.58
44,4,2,2,normal,3/27/2018 15:46:30,1522136801.14
45,4,2,3,normal,3/27/2018 15:48:52,1522136945.6
46,4,3,1,normal,3/27/2018 15:52:26,1522137169.18
47,4,3,2,normal,3/27/2018 15:55:21,1522137342.45
48,4,3,3,normal,3/27/2018 15:58:17,1522137520.21
49,4,4,1,hard,3/27/2018 16:01:20,1522137693.44
50,4,4,2,hard,3/27/2018 16:03:21,1522137814.67
51,4,4,3,hard,3/27/2018 16:05:24,1522137937.16
52,4,4,4,hard,3/27/2018 16:07:26,1522138058.73
53,5,1,1,easy,3/27/2018 16:18:30,1522138724.77
54,5,1,2,easy,3/27/2018 16:20:44,1522138857.96
55,5,1,3,easy,3/27/2018 16:22:47,1522138977.62
56,5,2,1,normal,3/27/2018 16:25:10,1522139123.81
57,5,2,2,normal,3/27/2018 16:27:53,1522139285.07
58,5,2,3,normal,3/27/2018 16:30:11,1522139424.66
59,5,3,1,normal,3/27/2018 16:33:25,1522139628.01
60,5,3,2,normal,3/27/2018 16:36:14,1522139796.96
61,5,3,3,normal,3/27/2018 16:39:15,1522139977.41
62,5,4,1,hard,3/27/2018 16:42:20,1522140155.25
63,5,4,2,hard,3/27/2018 16:44:22,1522140275.21
64,5,4,3,hard,3/27/2018 16:47:05,1522140440.48
65,5,4,4,hard,3/27/2018 16:49:41,1522140592.56
66,7,1,1,easy,3/28/2018 14:59:10,1522220365.49
67,7,1,2,easy,3/28/2018 15:01:26,1522220498.71
68,7,1,3,easy,3/28/2018 15:03:47,1522220639.1
69,7,2,1,normal,3/28/2018 15:06:36,1522220807.74
70,7,2,2,normal,3/28/2018 15:10:35,1522221046.86
71,7,2,3,normal,3/28/2018 15:13:07,1522221198.6
72,7,3,1,normal,3/28/2018 15:17:58,1522221500.64
73,7,3,2,normal,3/28/2018 15:21:53,1522221735.81
74,7,3,3,normal,3/28/2018 15:25:06,1522221928.55
75,7,4,1,hard,3/28/2018 15:28:42,1522222135.34
76,7,4,2,hard,3/28/2018 15:30:48,1522222261.89
77,7,4,3,hard,3/28/2018 15:33:00,1522222392.92
78,7,4,4,hard,3/28/2018 15:35:04,1522222517.85
79,6,1,1,easy,3/28/2018 15:57:36,1522223870.51
80,6,1,2,easy,3/28/2018 15:59:43,1522223995.49
81,6,1,3,easy,3/28/2018 16:01:46,1522224119.86
82,6,2,1,normal,3/28/2018 16:04:40,1522224292.7
83,6,2,2,normal,3/28/2018 16:07:02,1522224434.32
84,6,2,3,normal,3/28/2018 16:09:23,1522224574.2
85,6,3,1,normal,3/28/2018 16:15:22,1522224944.03
86,6,3,2,normal,3/28/2018 16:18:13,1522225116.37
87,6,3,3,normal,3/28/2018 16:21:10,1522225296.94
88,6,4,1,hard,3/28/2018 16:25:11,1522225524.67
89,6,4,2,hard,3/28/2018 16:27:09,1522225643.43
90,6,4,3,hard,3/28/2018 16:29:15,1522225772.18
91,6,4,4,hard,3/28/2018 16:31:27,1522225900.4
92,8,1,1,easy,3/28/2018 17:06:40,1522228014.58
93,8,1,2,easy,3/28/2018 17:08:50,1522228144.53
94,8,1,3,easy,3/28/2018 17:11:56,1522228327.59
95,8,2,1,normal,3/28/2018 17:14:11,1522228463.68
96,8,2,2,normal,3/28/2018 17:16:33,1522228604.2
97,8,2,3,normal,3/28/2018 17:18:59,1522228749.07
98,8,3,1,normal,3/28/2018 17:24:28,1522229091.32
99,8,3,2,normal,3/28/2018 17:27:26,1522229269.45
100,8,3,3,normal,3/28/2018 17:30:25,1522229448.34
101,8,4,1,hard,3/28/2018 17:33:43,1522229635.03
102,8,4,2,hard,3/28/2018 17:35:44,1522229757.24
103,8,4,3,hard,3/28/2018 17:38:00,1522229894.03
104,8,4,4,hard,3/28/2018 17:40:02,1522230015.64
