drummer_id,song_id,performance_order,score,perfect,good,miss,max_combo,total_stream
1,1,1,243400,74,18,2,65,67
1,1,2,223010,70,21,3,54,66
1,1,3,181870,66,25,3,45,67
1,2,1,218710,88,48,12,46,126
1,2,2,212760,94,39,15,34,123
1,2,3,217700,89,50,9,32,127
1,3,1,245790,170,79,10,54,183
1,3,2,297750,157,94,8,123,173
1,3,3,246200,157,87,15,88,176
1,4,1,124010,73,97,97,18,49
1,4,2,116760,69,88,110,20,49
1,4,3,107130,68,78,121,9,45
1,4,4,123690,69,97,101,20,44
2,1,1,210550,76,9,1,66,57
2,1,2,251930,70,16,0,86,53
2,1,3,223700,69,16,1,76,62
2,2,1,278300,112,32,4,64,129
2,2,2,334990,108,37,3,110,125
2,2,3,288720,107,34,7,85,124
2,3,1,374120,164,88,7,187,186
2,3,2,245820,151,93,15,90,192
2,3,3,319550,176,75,8,122,203
2,4,1,78640,39,77,151,12,49
2,4,2,128890,78,96,93,19,45
2,4,3,118990,67,92,108,14,50
2,4,4,129620,71,102,94,18,54
3,1,1,110320,55,26,5,28,51
3,1,2,122580,58,24,4,28,53
3,1,3,112370,45,35,6,42,50
3,2,1,151190,59,54,35,18,95
3,2,2,153970,54,58,36,17,99
3,2,3,205220,81,47,20,56,104
3,3,1,140800,72,125,62,19,155
3,3,2,137370,77,111,71,30,150
3,3,3,160620,79,134,46,32,175
3,4,1,65440,34,62,171,6,43
3,4,2,63680,29,70,168,6,45
3,4,3,91570,50,85,132,9,43
3,4,4,108950,51,108,108,18,46
4,1,1,222600,70,14,2,72,68
4,1,2,267800,74,12,0,86,72
4,1,3,271990,77,9,0,86,72
4,2,1,249230,107,37,4,45,138
4,2,2,239230,92,50,6,53,138
4,2,3,423770,100,47,1,142,137
4,3,1,311370,171,83,5,108,200
4,3,2,509800,187,72,0,259,203
4,3,3,383280,172,80,7,175,207
4,4,1,109310,59,98,110,11,55
4,4,2,145820,68,126,73,41,55
4,4,3,151530,92,101,74,17,52
4,4,4,167770,90,120,57,36,55
5,1,1,131210,67,15,4,40,44
5,1,2,188720,69,16,1,62,56
5,1,3,185380,75,10,1,54,58
5,2,1,215530,89,47,12,37,117
5,2,2,237050,99,44,5,50,114
5,2,3,283810,105,41,2,60,120
5,3,1,287720,178,76,5,97,184
5,3,2,280670,163,92,4,94,176
5,3,3,227810,142,109,8,65,166
5,4,1,129310,69,119,79,23,42
5,4,2,141470,69,129,69,26,39
5,4,3,142810,81,115,71,28,44
5,4,4,180820,100,110,57,58,41
6,1,1,241880,61,25,0,86,66
6,1,2,164810,62,23,1,46,64
6,1,3,266820,73,13,0,86,69
6,2,1,191410,56,78,14,32,157
6,2,2,274640,77,66,5,60,150
6,2,3,272550,100,45,3,81,127
6,3,1,274400,172,75,12,99,231
6,3,2,442280,199,56,4,196,210
6,3,3,315280,192,58,9,97,210
6,4,1,94180,44,92,131,13,57
6,4,2,101360,59,78,130,17,41
6,4,3,105640,58,90,119,11,47
6,4,4,132300,70,107,90,16,67
7,1,1,269500,77,9,0,86,64
7,1,2,278840,83,3,0,86,65
7,1,3,274760,81,5,0,86,65
7,2,1,513030,136,12,0,148,128
7,2,2,499780,131,17,0,148,137
7,2,3,510050,137,11,0,148,138
7,3,1,454650,230,28,1,162,239
7,3,2,537610,201,58,0,259,236
7,3,3,567620,227,32,0,259,236
7,4,1,212110,123,101,43,47,51
7,4,2,219110,111,110,46,63,51
7,4,3,210800,103,132,32,51,44
7,4,4,192760,106,129,32,46,50
8,1,1,170430,47,36,3,67,42
8,1,2,89370,46,31,9,17,47
8,1,3,142120,56,28,2,50,48
8,2,1,141760,45,56,47,16,109
8,2,2,151390,48,69,31,18,109
8,2,3,156050,50,67,31,20,114
8,3,1,134060,72,110,77,33,156
8,3,2,151060,88,115,56,19,157
8,3,3,162700,98,113,48,46,149
8,4,1,61870,28,65,174,8,45
8,4,2,60830,26,69,172,8,44
8,4,3,69720,38,64,165,6,45
8,4,4,67570,31,73,163,5,40
