#,separator,Bar,BPM,time_unit (s),Rel_timestemp (s),label,continuous
0,1,1,80,0.1875,0.0000,1,0
1,1,1,80,0.1875,0.1875,0,0
2,1,1,80,0.1875,0.3750,0,0
3,1,1,80,0.1875,0.5625,0,0
4,1,1,80,0.1875,0.7500,0,0
5,1,1,80,0.1875,0.9375,0,0
6,1,1,80,0.1875,1.1250,0,0
7,1,1,80,0.1875,1.3125,0,0
8,1,1,80,0.1875,1.5000,0,0
9,1,1,80,0.1875,1.6875,0,0
10,1,1,80,0.1875,1.8750,0,0
11,1,1,80,0.1875,2.0625,0,0
12,1,1,80,0.1875,2.2500,0,0
13,1,1,80,0.1875,2.4375,0,0
14,1,1,80,0.1875,2.6250,0,0
15,1,1,80,0.1875,2.8125,0,0
16,0,2,79,0.1899,3.0000,1,0
17,0,2,79,0.1899,3.1899,0,0
18,0,2,79,0.1899,3.3797,0,0
19,0,2,79,0.1899,3.5696,0,0
20,0,2,79,0.1899,3.7595,0,0
21,0,2,79,0.1899,3.9494,0,0
22,0,2,79,0.1899,4.1392,0,0
23,0,2,79,0.1899,4.3291,0,0
24,0,2,79,0.1899,4.5190,1,0
25,0,2,79,0.1899,4.7089,0,0
26,0,2,79,0.1899,4.8987,0,0
27,0,2,79,0.1899,5.0886,1,0
28,0,2,79,0.1899,5.2785,0,0
29,0,2,79,0.1899,5.4684,0,0
30,0,2,79,0.1899,5.6582,1,0
31,0,2,79,0.1899,5.8481,0,0
32,1,3,76.7,0.1956,6.0380,1,0
33,1,3,76.7,0.1956,6.2335,0,0
34,1,3,76.7,0.1956,6.4291,0,0
35,1,3,76.7,0.1956,6.6247,0,0
36,1,3,76.7,0.1956,6.8202,1,0
37,1,3,76.7,0.1956,7.0158,0,0
38,1,3,76.7,0.1956,7.2114,0,0
39,1,3,76.7,0.1956,7.4069,0,0
40,1,3,76.7,0.1956,7.6025,5,1
41,1,3,76.7,0.1956,7.7981,5,1
42,1,3,76.7,0.1956,7.9936,5,1
43,1,3,76.7,0.1956,8.1892,5,1
44,1,3,76.7,0.1956,8.3848,5,1
45,1,3,76.7,0.1956,8.5803,5,1
46,1,3,76.7,0.1956,8.7759,5,1
47,1,3,76.7,0.1956,8.9715,5,1
48,1,3,134,0.1119,9.1670,5,1
49,1,3,134,0.1119,9.2790,5,1
50,1,3,134,0.1119,9.3909,5,1
51,1,3,134,0.1119,9.5029,5,1
52,1,3,134,0.1119,9.6148,5,1
53,1,3,134,0.1119,9.7268,5,1
54,1,3,134,0.1119,9.8387,5,1
55,1,3,134,0.1119,9.9506,5,1
56,1,3,134,0.1119,10.0626,5,1
57,1,3,134,0.1119,10.1745,5,1
58,1,3,134,0.1119,10.2865,5,1
59,1,3,134,0.1119,10.3984,5,1
60,1,3,134,0.1119,10.5103,5,1
61,1,3,134,0.1119,10.6223,0,0
62,1,3,134,0.1119,10.7342,0,0
63,1,3,134,0.1119,10.8462,0,0
64,0,4,129,0.1163,10.9581,1,0
65,0,4,129,0.1163,11.0744,0,0
66,0,4,129,0.1163,11.1907,0,0
67,0,4,129,0.1163,11.3069,0,0
68,0,4,129,0.1163,11.4232,1,0
69,0,4,129,0.1163,11.5395,0,0
70,0,4,129,0.1163,11.6558,0,0
71,0,4,129,0.1163,11.7720,0,0
72,0,4,129,0.1163,11.8883,2,0
73,0,4,129,0.1163,12.0046,0,0
74,0,4,129,0.1163,12.1209,0,0
75,0,4,129,0.1163,12.2372,2,0
76,0,4,129,0.1163,12.3534,0,0
77,0,4,129,0.1163,12.4697,0,0
78,0,4,129,0.1163,12.5860,2,0
79,0,4,129,0.1163,12.7023,0,0
80,1,5,129,0.1163,12.8186,1,0
81,1,5,129,0.1163,12.9348,0,0
82,1,5,129,0.1163,13.0511,1,0
83,1,5,129,0.1163,13.1674,0,0
84,1,5,129,0.1163,13.2837,2,0
85,1,5,129,0.1163,13.4000,0,0
86,1,5,129,0.1163,13.5162,2,0
87,1,5,129,0.1163,13.6325,0,0
88,1,5,129,0.1163,13.7488,1,0
89,1,5,129,0.1163,13.8651,1,0
90,1,5,129,0.1163,13.9813,0,0
91,1,5,129,0.1163,14.0976,2,0
92,1,5,129,0.1163,14.2139,0,0
93,1,5,129,0.1163,14.3302,0,0
94,1,5,129,0.1163,14.4465,0,0
95,1,5,129,0.1163,14.5627,0,0
96,0,6,129,0.1163,14.6790,1,0
97,0,6,129,0.1163,14.7953,0,0
98,0,6,129,0.1163,14.9116,0,0
99,0,6,129,0.1163,15.0279,0,0
100,0,6,129,0.1163,15.1441,1,0
101,0,6,129,0.1163,15.2604,0,0
102,0,6,129,0.1163,15.3767,0,0
103,0,6,129,0.1163,15.4930,0,0
104,0,6,129,0.1163,15.6093,2,0
105,0,6,129,0.1163,15.7255,0,0
106,0,6,129,0.1163,15.8418,0,0
107,0,6,129,0.1163,15.9581,2,0
108,0,6,129,0.1163,16.0744,0,0
109,0,6,129,0.1163,16.1907,0,0
110,0,6,129,0.1163,16.3069,2,0
111,0,6,129,0.1163,16.4232,0,0
112,1,7,129,0.1163,16.5395,1,0
113,1,7,129,0.1163,16.6558,0,0
114,1,7,129,0.1163,16.7720,1,0
115,1,7,129,0.1163,16.8883,0,0
116,1,7,129,0.1163,17.0046,2,0
117,1,7,129,0.1163,17.1209,0,0
118,1,7,129,0.1163,17.2372,2,0
119,1,7,129,0.1163,17.3534,0,0
120,1,7,129,0.1163,17.4697,3,0
121,1,7,129,0.1163,17.5860,0,0
122,1,7,129,0.1163,17.7023,0,0
123,1,7,129,0.1163,17.8186,3,0
