"pid","drumer_id","song_id","performance_order","start_time"
1,1,1,1,"3/27/2018 11:53:08"
2,1,1,2,"3/27/2018 11:55:29"
3,1,1,3,"3/27/2018 11:57:53"
4,1,2,1,"3/27/2018 12:27:53"
5,1,2,2,"3/27/2018 12:30:18"
6,1,2,3,"3/27/2018 12:32:45"
7,1,3,1,"3/27/2018 12:35:45"
8,1,3,2,"3/27/2018 12:38:33"
9,1,3,3,"3/27/2018 12:41:25"
10,1,4,1,"3/27/2018 12:44:52"
11,1,4,2,"3/27/2018 12:46:54"
12,1,4,3,"3/27/2018 12:49:02"
13,1,4,4,"3/27/2018 12:51:07"
14,2,1,1,"3/27/2018 13:28:02"
15,2,1,2,"3/27/2018 13:30:23"
16,2,1,3,"3/27/2018 13:32:32"
17,2,2,1,"3/27/2018 13:34:43"
18,2,2,2,"3/27/2018 13:37:06"
19,2,2,3,"3/27/2018 13:39:31"
20,2,3,1,"3/27/2018 13:43:06"
21,2,3,2,"3/27/2018 13:46:01"
22,2,3,3,"3/27/2018 13:48:54"
23,2,4,1,"3/27/2018 13:52:15"
24,2,4,2,"3/27/2018 13:54:19"
25,2,4,3,"3/27/2018 13:56:20"
26,2,4,4,"3/27/2018 13:58:17"
27,3,1,1,"3/27/2018 15:01:10"
28,3,1,2,"3/27/2018 15:03:21"
29,3,1,3,"3/27/2018 15:05:37"
30,3,2,1,"3/27/2018 15:07:51"
31,3,2,2,"3/27/2018 15:10:15"
32,3,2,3,"3/27/2018 15:12:41"
33,3,3,1,"3/27/2018 15:15:14"
34,3,3,2,"3/27/2018 15:18:09"
35,3,3,3,"3/27/2018 15:21:17"
36,3,4,1,"3/27/2018 15:24:30"
37,3,4,2,"3/27/2018 15:26:48"
38,3,4,3,"3/27/2018 15:28:52"
39,3,4,4,"3/27/2018 15:30:59"
40,4,1,1,"3/27/2018 15:37:57"
41,4,1,2,"3/27/2018 15:39:57"
42,4,1,3,"3/27/2018 15:41:56"
43,4,2,1,"3/27/2018 15:44:09"
44,4,2,2,"3/27/2018 15:46:30"
45,4,2,3,"3/27/2018 15:48:52"
46,4,3,1,"3/27/2018 15:52:26"
47,4,3,2,"3/27/2018 15:55:21"
48,4,3,3,"3/27/2018 15:58:17"
49,4,4,1,"3/27/2018 16:01:20"
50,4,4,2,"3/27/2018 16:03:21"
51,4,4,3,"3/27/2018 16:05:24"
52,4,4,4,"3/27/2018 16:07:26"
53,5,1,1,"3/27/2018 16:18:30"
54,5,1,2,"3/27/2018 16:20:44"
55,5,1,3,"3/27/2018 16:22:47"
56,5,2,1,"3/27/2018 16:25:10"
57,5,2,2,"3/27/2018 16:27:53"
58,5,2,3,"3/27/2018 16:30:11"
59,5,3,1,"3/27/2018 16:33:25"
60,5,3,2,"3/27/2018 16:36:14"
61,5,3,3,"3/27/2018 16:39:15"
62,5,4,1,"3/27/2018 16:42:20"
63,5,4,2,"3/27/2018 16:44:22"
64,5,4,3,"3/27/2018 16:47:05"
65,5,4,4,"3/27/2018 16:49:41"
66,7,1,1,"3/28/2018 14:59:10"
67,7,1,2,"3/28/2018 15:01:26"
68,7,1,3,"3/28/2018 15:03:47"
69,7,2,1,"3/28/2018 15:06:36"
70,7,2,2,"3/28/2018 15:10:35"
71,7,2,3,"3/28/2018 15:13:07"
72,7,3,1,"3/28/2018 15:17:58"
73,7,3,2,"3/28/2018 15:21:53"
74,7,3,3,"3/28/2018 15:25:06"
75,7,4,1,"3/28/2018 15:28:42"
76,7,4,2,"3/28/2018 15:30:48"
77,7,4,3,"3/28/2018 15:33:00"
78,7,4,4,"3/28/2018 15:35:04"
79,6,1,1,"3/28/2018 15:57:36"
80,6,1,2,"3/28/2018 15:59:43"
81,6,1,3,"3/28/2018 16:01:46"
82,6,2,1,"3/28/2018 16:04:40"
83,6,2,2,"3/28/2018 16:07:02"
84,6,2,3,"3/28/2018 16:09:23"
85,6,3,1,"3/28/2018 16:15:22"
86,6,3,2,"3/28/2018 16:18:13"
87,6,3,3,"3/28/2018 16:21:10"
88,6,4,1,"3/28/2018 16:25:11"
89,6,4,2,"3/28/2018 16:27:09"
90,6,4,3,"3/28/2018 16:29:15"
91,6,4,4,"3/28/2018 16:31:27"
92,8,1,1,"3/28/2018 17:06:40"
93,8,1,2,"3/28/2018 17:08:50"
94,8,1,3,"3/28/2018 17:11:56"
95,8,2,1,"3/28/2018 17:14:11"
96,8,2,2,"3/28/2018 17:16:33"
97,8,2,3,"3/28/2018 17:18:59"
98,8,3,1,"3/28/2018 17:24:48"
99,8,3,2,"3/28/2018 17:27:26"
100,8,3,3,"3/28/2018 17:30:25"
101,8,4,1,"3/28/2018 17:33:43"
102,8,4,2,"3/28/2018 17:35:44"
103,8,4,3,"3/28/2018 17:38:00"
104,8,4,4,"3/28/2018 17:40:02"
