hit_type,R_AAI,R_AVI,R_ASMA,R_GAI,R_GVI,R_GSMA,R_AAE,R_ARE,R_MAMI,R_MGMI,R_ASDI,R_GSDI,R_AIR,R_GIR,R_AZCR,R_GZCR,R_AMCR,R_GMCR,R_AXYCORR,R_AYZCORR,R_AZXCORR,R_GXYCORR,R_GYZCORR,R_GZXCORR,L_AAI,L_AVI,L_ASMA,L_GAI,L_GVI,L_GSMA,L_AAE,L_ARE,L_MAMI,L_MGMI,L_ASDI,L_GSDI,L_AIR,L_GIR,L_AZCR,L_GZCR,L_AMCR,L_GMCR,L_AXYCORR,L_AYZCORR,L_AZXCORR,L_GXYCORR,L_GYZCORR,L_GZXCORR,L1,L2,R1,R2
1,0.2675415381516477,0.027019444978835048,0.39734615384615385,55.48187269848896,376.52873920982034,85.06574615384615,0.09859791961538462,3454.766937341155,0.1743416186686357,57.565997922493274,0.1643759257885261,19.404348461358353,0.2303032262343417,30.58477055263463,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.07692307692307693,-0.8021837072513889,0.798916189099418,-0.4978499745991264,-0.04644116079360764,0.261540768690727,0.7977939949704962,-0.22522637625352077,-0.2927385261659406,-0.22884449491059553,-0.5033605620192909,-0.34320862819482895,-0.5048166832472919,-0.30551947750108854,-0.38237651396501776,-0.18848447871839666,-0.49035560246619847,-0.17472793164427683,-0.4194431008204755,-0.18142839937620805,-0.34949298580239785,-0.8490002970786568,-0.6724685817875984,-1.2614178344266493,-0.3975018339546774,-0.27747042467469435,0.5107512910686163,0.6312758753433483,0.020216162245473335,0.76626691696666,0.06654575478740474,0,0,0,0
0,0.15080887917929883,0.005201580108831796,0.1917777777777778,35.90339651135887,222.76239815879194,58.82531944444444,0.027944898148148153,1511.8162792106489,0.15671959209372638,40.46159088592772,0.07212198076059612,14.925226904767376,0.1461304481975032,20.9576914238748,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,-0.12021826496701445,-0.3469964642120563,-0.6334680139099714,0.917980409555236,0.9324009770581771,0.9668731911485403,-0.2737352377839801,-0.336619350162197,-0.23649960779807971,-0.5260078196878126,-0.3383837230008467,-0.524646179567495,-0.32117010788403405,-0.38350382235744424,-0.2552878836858318,-0.551724478796778,-0.46020101387528134,-0.3826230996619529,-0.5126896033764987,-0.39802111236634197,-0.7487257650173467,0.14785522320898664,-0.5495815531412231,0.415058540097631,0.5226014687704852,0.8544592283905694,0.6111273250668084,-0.7830484285421184,0.6649600541103146,-0.345327798251326,1,0,0,0
0,0.1490683955085964,0.0009447697104926628,0.2004583333333333,45.30415273439768,382.8890623204504,76.50754166666667,0.02316615625,2435.355317302084,0.13650983046238852,49.61299164982234,0.030737106410536806,19.567551260197337,0.0475106135585993,36.81536496326689,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,-0.4138601222274083,0.4187238303075704,-0.9955059072262179,0.9926149981635156,0.9912486422646545,0.9878962745354394,-0.30629718361388014,-0.3358870871789156,-0.27479580151459837,-0.5559379251614117,-0.33824292774364156,-0.5543101439373099,-0.32699378637406384,-0.3855728277731753,-0.3268512291859751,-0.5878836199715907,-0.45164313422663777,-0.38162053282103187,-0.4200739095277453,-0.40115620988931566,-1.4005102234158635,-0.5630920744547205,-1.2105723857634045,-0.2891604507477031,0.5047560506702977,0.6717299415658909,0.9649521387960681,-0.8238879451863245,0.9767667004994001,-0.7232466910685171,0,1,0,1
0,0.43311492055646234,0.1079221878135916,0.6405833333333334,78.10155376404032,444.76074544827384,122.39544444444444,0.29551072222222236,6544.613445805557,0.3443952583853591,79.81101108751255,0.3285151256998551,21.08935147054726,0.4035861794272264,22.551128459246712,0.08333333333333333,0.25,0.25,0.25,-0.7785219744156833,0.12637294777244962,0.10376010029565846,-0.4629715559851975,-0.25380363745456347,0.5731621925561007,-0.2526005652962262,-0.3223361420483038,-0.21440152402888402,-0.47270703884429316,-0.34420148915663035,-0.4798112954373142,-0.3151335981942566,-0.37964254152994387,-0.24709052847829932,-0.47884654443198343,-0.3351628969264842,-0.4277281938804819,-0.43522416643856127,-0.4610154766551487,-0.09694130661882981,0.14785522320898664,0.11140927948095855,0.415058540097631,-0.9052909884284943,0.44381911371615723,-0.0503061390808206,0.17122214298199054,0.6923046329221639,0.5510341855469996,0,0,1,0
1,0.2787797267071474,0.06634647508819931,0.43011111111111117,58.11131669832622,920.5589781099807,83.57505555555556,0.14406461111111113,4297.4841065231485,0.14246665269713,63.741989018720055,0.25757809512495294,30.34071485825574,0.17638593233180785,59.32425617161482,0.25,0.25,0.08333333333333333,0.08333333333333333,-0.9411389862968349,-0.9182388694305494,0.9435843851973019,-0.10242165871835343,-0.6565558172464838,0.7759960670748957,-0.12254099380308642,-0.26036154602267175,-0.1495018119882855,-0.4500969216944571,-0.3486401683151536,-0.4527547030291145,-0.2774477581071202,-0.37790865048911565,-0.11109336628022391,-0.45787733512143314,-0.047853081960588496,-0.4690082766777382,0.052528659509768434,-0.39708957282692037,-0.7487257650173467,0.8588025208726936,-0.5495815531412231,2.5277155126336335,-0.4250103032739494,0.867209105317574,-0.2532579395716024,0.16280300338923018,0.673163415249651,0.33139143581565383,0,0,0,0
0,0.1662540090702086,0.011420046775775301,0.2449102564102564,47.425284945181836,303.4439025670266,76.70442307692308,0.03906044230769231,2552.601554698718,0.11079711187571639,52.72572966541098,0.10686461891465904,17.419641286979093,0.07902675943856777,20.85587232401363,0.3076923076923077,0.15384615384615385,0.07692307692307693,0.15384615384615385,-0.8024723807926917,0.5325514819958981,-0.8945395115071598,0.6169613792037171,0.7252817724235022,0.8243194093620653,-0.21850182556160155,-0.33469169072620825,-0.17389799744893777,-0.4081592261282956,-0.3363237072776396,-0.4093092604908868,-0.3098497269739464,-0.37097751154007663,-0.18719604422355926,-0.3797668981958929,-0.43849360998897075,-0.36829209001057356,-0.5516408230612573,-0.2385065699786049,0.3542940876570665,-0.01620953779033027,-0.6512724504677124,0.2525464652871694,0.025379698464367304,0.5592350270084363,0.10597922460920223,-0.7306271095187814,0.3709279303115561,-0.13333521522915873,1,0,0,0
0,0.24049449871919135,0.006728349912782712,0.3737275641025641,64.77263576158441,807.9611423026589,94.03599038461537,0.06456595382697784,5003.455485805544,0.19927980375034918,64.45755532318118,0.08202651957009216,28.424657294374878,0.05794663443963516,55.547019099777295,0.25,0.16666666666666666,0.08333333333333333,0.16666666666666666,-0.9822711522264883,0.9982671928674709,-0.9915751727851524,0.6425361747276124,0.5197359810226586,0.9621133489157183,-0.31636177171309643,-0.34048962466866817,-0.3346751721940401,-0.5045765491646236,-0.35360052161836414,-0.4991189621591836,-0.3293658176110114,-0.38404745413768987,-0.3094085309880832,-0.511868403630506,-0.51563469653749,-0.529277826353061,-0.5732865481136155,-0.6332035824566351,-0.09694130661882981,-0.5630920744547205,0.11140927948095855,-0.993379441593037,0.9455865035469697,0.5869684574767955,0.3526646405949427,-0.9859544259000114,0.9735962352734766,-0.9669645219861798,0,1,0,1
0,0.3517887686715879,0.08529327429274101,0.5207724358974358,79.675692697957,1815.1195575257705,127.44823076923076,0.20904861205621306,8163.3355644250505,0.17666190622230388,76.50498431692435,0.2920501229117033,42.604219949739374,0.28958104332034473,46.73473767622174,0.08333333333333333,0.25,0.08333333333333333,0.25,0.513352793180038,0.5986783669306669,-0.1960301402377256,0.8269844219897454,0.42024544463475544,-0.03241371826822787,-0.2678402210306927,-0.3187520725716711,-0.25666679104375345,-0.44191948344135284,-0.3411332143971985,-0.43154247495850134,-0.31760416144604836,-0.37585126423970655,-0.23076405743353165,-0.419726594115221,-0.31140353919745745,-0.4029698073413385,-0.4263600985461885,-0.3674989128125693,-0.09694130661882981,-1.2740393721184275,1.433390944725322,-0.993379441593037,0.32361381219167823,0.038324358916134935,0.4288089761971532,-0.6048027156575516,0.9747331549619583,-0.6147307354195426,0,0,1,0
1,0.3846699459803012,0.02380205349284555,0.61525,52.03622477728559,481.13246979239165,75.68195833333333,0.17177302083333343,3188.901158864584,0.34919931123336867,43.5670932270453,0.154279141470406,21.93473204286735,0.2227459451597924,32.2220641267791,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.90363429898018,-0.44986207765676756,-0.053160488277891826,0.07508101461648807,-0.5633487318370978,0.5370431994160236,-0.29630816014569883,-0.2748182576557379,-0.27629761303289324,-0.5086170664672437,-0.35011572418228876,-0.5055657685769324,-0.3168619352620128,-0.3838682620852983,-0.30029789312061506,-0.531721005361421,-0.10073089756424153,-0.48481558443196243,0.11956426232906348,-0.4846059479507337,-0.7487257650173467,0.14785522320898664,-0.5495815531412231,0.415058540097631,-0.9446093880753955,-0.7256144814845054,0.7198413807506997,0.26476794486060334,0.8316406007773782,0.20530970566721868,0,0,0,1
0,0.4195423415136929,0.11201737182535597,0.6299722222222222,73.47484574201478,543.4000956917636,113.46816666666668,0.2880331481481481,5941.953052504631,0.3670943131884905,75.01762899212542,0.334689963735628,23.310943689429727,0.44987626860173524,38.51464916760551,0.16666666666666666,0.4166666666666667,0.16666666666666666,0.4166666666666667,0.5399481635595978,0.9235518286106904,0.2788356181603714,0.7719639120073031,0.11380835467206503,0.7054466738921629,-0.33222749038626864,-0.33649875463379264,-0.31604198214205337,-0.5161001433110526,-0.3475615224744744,-0.5141467338972169,-0.331479735026894,-0.3841041038604046,-0.3153794034054918,-0.5237410866848147,-0.4587621667467329,-0.4582167582780397,-0.43570207421171836,-0.5058706607171866,-0.7487257650173467,0.14785522320898664,-0.5495815531412231,0.415058540097631,-0.13533557336273297,0.25941418119796233,-0.29915014572585996,0.37653948598003917,0.7377188162362925,0.5758515442172443,1,0,1,0
