test_who,song_id,test_order,f1_score,feat,mode
1,1,1,0.9421,acc + gyr + near,one-to-one
1,1,2,0.9586,acc + gyr + near,one-to-one
1,1,3,0.9447,acc + gyr + near,one-to-one
1,1,1,0.9533,acc + gyr + near,rest-to-one
1,1,2,0.9616,acc + gyr + near,rest-to-one
1,1,3,0.9613,acc + gyr + near,rest-to-one
1,1,1,0.956,acc + gyr + near,all-to-one
1,1,2,0.9644,acc + gyr + near,all-to-one
1,1,3,0.964,acc + gyr + near,all-to-one
2,1,1,0.9671,acc + gyr + near,one-to-one
2,1,2,0.8732,acc + gyr + near,one-to-one
2,1,3,0.9134,acc + gyr + near,one-to-one
2,1,1,0.9639,acc + gyr + near,rest-to-one
2,1,2,0.9259,acc + gyr + near,rest-to-one
2,1,3,0.9583,acc + gyr + near,rest-to-one
2,1,1,0.9807,acc + gyr + near,all-to-one
2,1,2,0.945,acc + gyr + near,all-to-one
2,1,3,0.9695,acc + gyr + near,all-to-one
3,1,1,0.9471,acc + gyr + near,one-to-one
3,1,2,0.9781,acc + gyr + near,one-to-one
3,1,3,0.9835,acc + gyr + near,one-to-one
3,1,1,0.9779,acc + gyr + near,rest-to-one
3,1,2,0.9807,acc + gyr + near,rest-to-one
3,1,3,0.9779,acc + gyr + near,rest-to-one
3,1,1,0.978,acc + gyr + near,all-to-one
3,1,2,0.9862,acc + gyr + near,all-to-one
3,1,3,0.9864,acc + gyr + near,all-to-one
4,1,1,0.9408,acc + gyr + near,one-to-one
4,1,2,0.9402,acc + gyr + near,one-to-one
4,1,3,0.9752,acc + gyr + near,one-to-one
4,1,1,0.8912,acc + gyr + near,rest-to-one
4,1,2,0.9017,acc + gyr + near,rest-to-one
4,1,3,0.9078,acc + gyr + near,rest-to-one
4,1,1,0.9418,acc + gyr + near,all-to-one
4,1,2,0.9588,acc + gyr + near,all-to-one
4,1,3,0.9698,acc + gyr + near,all-to-one
5,1,1,0.8911,acc + gyr + near,one-to-one
5,1,2,0.9724,acc + gyr + near,one-to-one
5,1,3,0.9727,acc + gyr + near,one-to-one
5,1,1,0.897,acc + gyr + near,rest-to-one
5,1,2,0.9696,acc + gyr + near,rest-to-one
5,1,3,0.9589,acc + gyr + near,rest-to-one
5,1,1,0.9185,acc + gyr + near,all-to-one
5,1,2,0.9861,acc + gyr + near,all-to-one
5,1,3,0.967,acc + gyr + near,all-to-one
6,1,1,0.9645,acc + gyr + near,one-to-one
6,1,2,0.9532,acc + gyr + near,one-to-one
6,1,3,0.9751,acc + gyr + near,one-to-one
6,1,1,0.9557,acc + gyr + near,rest-to-one
6,1,2,0.9478,acc + gyr + near,rest-to-one
6,1,3,0.9668,acc + gyr + near,rest-to-one
6,1,1,0.9808,acc + gyr + near,all-to-one
6,1,2,0.9614,acc + gyr + near,all-to-one
6,1,3,0.9806,acc + gyr + near,all-to-one
7,1,1,0.9531,acc + gyr + near,one-to-one
7,1,2,0.964,acc + gyr + near,one-to-one
7,1,3,0.9503,acc + gyr + near,one-to-one
7,1,1,0.964,acc + gyr + near,rest-to-one
7,1,2,0.9806,acc + gyr + near,rest-to-one
7,1,3,0.9612,acc + gyr + near,rest-to-one
7,1,1,0.9806,acc + gyr + near,all-to-one
7,1,2,0.9834,acc + gyr + near,all-to-one
7,1,3,0.9667,acc + gyr + near,all-to-one
8,1,1,0.9394,acc + gyr + near,one-to-one
8,1,2,0.9343,acc + gyr + near,one-to-one
8,1,3,0.9516,acc + gyr + near,one-to-one
8,1,1,0.9531,acc + gyr + near,rest-to-one
