train_who,train_porder,train_score,valid_who,valid_porder,valid_score,test_who,test_porder,test_score,multi_error
1,1,243400,1,1,243400,1,1,243400,0.0000
1,1,243400,1,1,243400,1,2,223010,0.0640
1,1,243400,1,1,243400,1,3,181870,0.0536
1,1,243400,1,1,243400,2,1,210550,0.1357
1,1,243400,1,1,243400,2,2,251930,0.1210
1,1,243400,1,1,243400,2,3,223700,0.1493
1,1,243400,1,1,243400,3,1,110320,0.1491
1,1,243400,1,1,243400,3,2,122580,0.0920
1,1,243400,1,1,243400,3,3,112370,0.0948
1,1,243400,1,1,243400,4,1,222600,0.3386
1,1,243400,1,1,243400,4,2,267800,0.2659
1,1,243400,1,1,243400,4,3,271990,0.2672
1,1,243400,1,1,243400,5,1,130490,0.2028
1,1,243400,1,1,243400,5,2,188720,0.2936
1,1,243400,1,1,243400,5,3,185380,0.2254
1,1,243400,1,1,243400,6,1,241880,0.2954
1,1,243400,1,1,243400,6,2,164810,0.1673
1,1,243400,1,1,243400,6,3,266820,0.1326
1,1,243400,1,1,243400,7,1,269500,0.1346
1,1,243400,1,1,243400,7,2,278840,0.1043
1,1,243400,1,1,243400,7,3,274760,0.0795
1,1,243400,1,1,243400,8,1,170430,0.2025
1,1,243400,1,1,243400,8,2,89370,0.1933
1,1,243400,1,1,243400,8,3,142120,0.1683
1,1,243400,1,2,223010,1,1,243400,0.0000
1,1,243400,1,2,223010,1,2,223010,0.0720
1,1,243400,1,2,223010,1,3,181870,0.0540
1,1,243400,1,2,223010,2,1,210550,0.1439
1,1,243400,1,2,223010,2,2,251930,0.1142
1,1,243400,1,2,223010,2,3,223700,0.1425
1,1,243400,1,2,223010,3,1,110320,0.1783
1,1,243400,1,2,223010,3,2,122580,0.1012
1,1,243400,1,2,223010,3,3,112370,0.1034
1,1,243400,1,2,223010,4,1,222600,0.3484
1,1,243400,1,2,223010,4,2,267800,0.2595
1,1,243400,1,2,223010,4,3,271990,0.2433
1,1,243400,1,2,223010,5,1,130490,0.2237
1,1,243400,1,2,223010,5,2,188720,0.3266
1,1,243400,1,2,223010,5,3,185380,0.2248
1,1,243400,1,2,223010,6,1,241880,0.3080
1,1,243400,1,2,223010,6,2,164810,0.1931
1,1,243400,1,2,223010,6,3,266820,0.1614
1,1,243400,1,2,223010,7,1,269500,0.1494
1,1,243400,1,2,223010,7,2,278840,0.1053
1,1,243400,1,2,223010,7,3,274760,0.0715
1,1,243400,1,2,223010,8,1,170430,0.2323
1,1,243400,1,2,223010,8,2,89370,0.2021
1,1,243400,1,2,223010,8,3,142120,0.1802
1,1,243400,1,3,181870,1,1,243400,0.0000
1,1,243400,1,3,181870,1,2,223010,0.0748
1,1,243400,1,3,181870,1,3,181870,0.0548
1,1,243400,1,3,181870,2,1,210550,0.1475
1,1,243400,1,3,181870,2,2,251930,0.1158
1,1,243400,1,3,181870,2,3,223700,0.1563
1,1,243400,1,3,181870,3,1,110320,0.1633
1,1,243400,1,3,181870,3,2,122580,0.0849
1,1,243400,1,3,181870,3,3,112370,0.0857
1,1,243400,1,3,181870,4,1,222600,0.3458
1,1,243400,1,3,181870,4,2,267800,0.2595
1,1,243400,1,3,181870,4,3,271990,0.2479
1,1,243400,1,3,181870,5,1,130490,0.1844
1,1,243400,1,3,181870,5,2,188720,0.3155
1,1,243400,1,3,181870,5,3,185380,0.2223
1,1,243400,1,3,181870,6,1,241880,0.2963
1,1,243400,1,3,181870,6,2,164810,0.1842
1,1,243400,1,3,181870,6,3,266820,0.1516
1,1,243400,1,3,181870,7,1,269500,0.1544
1,1,243400,1,3,181870,7,2,278840,0.1268
1,1,243400,1,3,181870,7,3,274760,0.0806
1,1,243400,1,3,181870,8,1,170430,0.1986
1,1,243400,1,3,181870,8,2,89370,0.1958
1,1,243400,1,3,181870,8,3,142120,0.1745
1,1,243400,2,1,210550,1,1,243400,0.0072
1,1,243400,2,1,210550,1,2,223010,0.0912
1,1,243400,2,1,210550,1,3,181870,0.0598
1,1,243400,2,1,210550,2,1,210550,0.1180
1,1,243400,2,1,210550,2,2,251930,0.1344
1,1,243400,2,1,210550,2,3,223700,0.1442
1,1,243400,2,1,210550,3,1,110320,0.1466
1,1,243400,2,1,210550,3,2,122580,0.0731
1,1,243400,2,1,210550,3,3,112370,0.0662
1,1,243400,2,1,210550,4,1,222600,0.3086
1,1,243400,2,1,210550,4,2,267800,0.2622
1,1,243400,2,1,210550,4,3,271990,0.2502
1,1,243400,2,1,210550,5,1,130490,0.1900
1,1,243400,2,1,210550,5,2,188720,0.2761
1,1,243400,2,1,210550,5,3,185380,0.2112
1,1,243400,2,1,210550,6,1,241880,0.2774
1,1,243400,2,1,210550,6,2,164810,0.1584
1,1,243400,2,1,210550,6,3,266820,0.1046
1,1,243400,2,1,210550,7,1,269500,0.1124
1,1,243400,2,1,210550,7,2,278840,0.1025
