train_who,train_porder,train_score,valid_who,valid_porder,valid_score,test_who,test_porder,test_score,multi_error
1,1,243400,1,1,243400,1,1,243400,0.0000
1,1,243400,1,1,243400,1,2,223010,0.0647
1,1,243400,1,1,243400,1,3,181870,0.0472
1,1,243400,1,1,243400,2,1,210550,0.1618
1,1,243400,1,1,243400,2,2,251930,0.1350
1,1,243400,1,1,243400,2,3,223700,0.1615
1,1,243400,1,1,243400,3,1,110320,0.1274
1,1,243400,1,1,243400,3,2,122580,0.0731
1,1,243400,1,1,243400,3,3,112370,0.0910
1,1,243400,1,1,243400,4,1,222600,0.2601
1,1,243400,1,1,243400,4,2,267800,0.2053
1,1,243400,1,1,243400,4,3,271990,0.2224
1,1,243400,1,1,243400,5,1,130490,0.2338
1,1,243400,1,1,243400,5,2,188720,0.3353
1,1,243400,1,1,243400,5,3,185380,0.2181
1,1,243400,1,1,243400,6,1,241880,0.1751
1,1,243400,1,1,243400,6,2,164810,0.1673
1,1,243400,1,1,243400,6,3,266820,0.1204
1,1,243400,1,1,243400,7,1,269500,0.1562
1,1,243400,1,1,243400,7,2,278840,0.1416
1,1,243400,1,1,243400,7,3,274760,0.1203
1,1,243400,1,1,243400,8,1,170430,0.1685
1,1,243400,1,1,243400,8,2,89370,0.1704
1,1,243400,1,1,243400,8,3,142120,0.1468
1,1,243400,1,2,223010,1,1,243400,0.0000
1,1,243400,1,2,223010,1,2,223010,0.0623
1,1,243400,1,2,223010,1,3,181870,0.0476
1,1,243400,1,2,223010,2,1,210550,0.1645
1,1,243400,1,2,223010,2,2,251930,0.1441
1,1,243400,1,2,223010,2,3,223700,0.1588
1,1,243400,1,2,223010,3,1,110320,0.1294
1,1,243400,1,2,223010,3,2,122580,0.0667
1,1,243400,1,2,223010,3,3,112370,0.1141
1,1,243400,1,2,223010,4,1,222600,0.2580
1,1,243400,1,2,223010,4,2,267800,0.2222
1,1,243400,1,2,223010,4,3,271990,0.2422
1,1,243400,1,2,223010,5,1,130490,0.2467
1,1,243400,1,2,223010,5,2,188720,0.3451
1,1,243400,1,2,223010,5,3,185380,0.2409
1,1,243400,1,2,223010,6,1,241880,0.1740
1,1,243400,1,2,223010,6,2,164810,0.1679
1,1,243400,1,2,223010,6,3,266820,0.1407
1,1,243400,1,2,223010,7,1,269500,0.1794
1,1,243400,1,2,223010,7,2,278840,0.1477
1,1,243400,1,2,223010,7,3,274760,0.1145
1,1,243400,1,2,223010,8,1,170430,0.1628
1,1,243400,1,2,223010,8,2,89370,0.1746
1,1,243400,1,2,223010,8,3,142120,0.1789
1,1,243400,1,3,181870,1,1,243400,0.0000
1,1,243400,1,3,181870,1,2,223010,0.0687
1,1,243400,1,3,181870,1,3,181870,0.0448
1,1,243400,1,3,181870,2,1,210550,0.1631
1,1,243400,1,3,181870,2,2,251930,0.1357
1,1,243400,1,3,181870,2,3,223700,0.1629
1,1,243400,1,3,181870,3,1,110320,0.1144
1,1,243400,1,3,181870,3,2,122580,0.0653
1,1,243400,1,3,181870,3,3,112370,0.1064
1,1,243400,1,3,181870,4,1,222600,0.2580
1,1,243400,1,3,181870,4,2,267800,0.2195
1,1,243400,1,3,181870,4,3,271990,0.2648
1,1,243400,1,3,181870,5,1,130490,0.2572
1,1,243400,1,3,181870,5,2,188720,0.3417
1,1,243400,1,3,181870,5,3,185380,0.2518
1,1,243400,1,3,181870,6,1,241880,0.1906
1,1,243400,1,3,181870,6,2,164810,0.1708
1,1,243400,1,3,181870,6,3,266820,0.1345
1,1,243400,1,3,181870,7,1,269500,0.1757
1,1,243400,1,3,181870,7,2,278840,0.1477
1,1,243400,1,3,181870,7,3,274760,0.1211
1,1,243400,1,3,181870,8,1,170430,0.1546
1,1,243400,1,3,181870,8,2,89370,0.1761
1,1,243400,1,3,181870,8,3,142120,0.1818
1,1,243400,2,1,210550,1,1,243400,0.0239
1,1,243400,2,1,210550,1,2,223010,0.0634
1,1,243400,2,1,210550,1,3,181870,0.0600
1,1,243400,2,1,210550,2,1,210550,0.1116
1,1,243400,2,1,210550,2,2,251930,0.1368
1,1,243400,2,1,210550,2,3,223700,0.1492
1,1,243400,2,1,210550,3,1,110320,0.0652
1,1,243400,2,1,210550,3,2,122580,0.0622
1,1,243400,2,1,210550,3,3,112370,0.0660
1,1,243400,2,1,210550,4,1,222600,0.2363
1,1,243400,2,1,210550,4,2,267800,0.1909
1,1,243400,2,1,210550,4,3,271990,0.2017
1,1,243400,2,1,210550,5,1,130490,0.1940
1,1,243400,2,1,210550,5,2,188720,0.1945
1,1,243400,2,1,210550,5,3,185380,0.1601
1,1,243400,2,1,210550,6,1,241880,0.1075
1,1,243400,2,1,210550,6,2,164810,0.1496
1,1,243400,2,1,210550,6,3,266820,0.1173
1,1,243400,2,1,210550,7,1,269500,0.1184
1,1,243400,2,1,210550,7,2,278840,0.1207
1,1,243400,2,1,210550,7,3,274760,0.0952
1,1,243400,2,1,210550,8,1,170430,0.1255
1,1,243400,2,1,210550,8,2,89370,0.1330
1,1,243400,2,1,210550,8,3,142120,0.1290
1,1,243400,2,2,251930,1,1,243400,0.0000
1,1,243400,2,2,251930,1,2,223010,0.0673
1,1,243400,2,2,251930,1,3,181870,0.0476
1,1,243400,2,2,251930,2,1,210550,0.1734
1,1,243400,2,2,251930,2,2,251930,0.1349
1,1,243400,2,2,251930,2,3,223700,0.1740
1,1,243400,2,2,251930,3,1,110320,0.1132
1,1,243400,2,2,251930,3,2,122580,0.0667
1,1,243400,2,2,251930,3,3,112370,0.1214
1,1,243400,2,2,251930,4,1,222600,0.2412
1,1,243400,2,2,251930,4,2,267800,0.2139
1,1,243400,2,2,251930,4,3,271990,0.2335
1,1,243400,2,2,251930,5,1,130490,0.2434
1,1,243400,2,2,251930,5,2,188720,0.3606
1,1,243400,2,2,251930,5,3,185380,0.2389
1,1,243400,2,2,251930,6,1,241880,0.1918
1,1,243400,2,2,251930,6,2,164810,0.1783
1,1,243400,2,2,251930,6,3,266820,0.1293
1,1,243400,2,2,251930,7,1,269500,0.1705
1,1,243400,2,2,251930,7,2,278840,0.1315
1,1,243400,2,2,251930,7,3,274760,0.1170
1,1,243400,2,2,251930,8,1,170430,0.1817
1,1,243400,2,2,251930,8,2,89370,0.1777
1,1,243400,2,2,251930,8,3,142120,0.1797
1,1,243400,2,3,223700,1,1,243400,0.0239
1,1,243400,2,3,223700,1,2,223010,0.0598
1,1,243400,2,3,223700,1,3,181870,0.0542
1,1,243400,2,3,223700,2,1,210550,0.1213
1,1,243400,2,3,223700,2,2,251930,0.1302
1,1,243400,2,3,223700,2,3,223700,0.1440
1,1,243400,2,3,223700,3,1,110320,0.1115
1,1,243400,2,3,223700,3,2,122580,0.0620
1,1,243400,2,3,223700,3,3,112370,0.0608
1,1,243400,2,3,223700,4,1,222600,0.2518
1,1,243400,2,3,223700,4,2,267800,0.2126
1,1,243400,2,3,223700,4,3,271990,0.2099
1,1,243400,2,3,223700,5,1,130490,0.2056
1,1,243400,2,3,223700,5,2,188720,0.2771
1,1,243400,2,3,223700,5,3,185380,0.1872
1,1,243400,2,3,223700,6,1,241880,0.1075
1,1,243400,2,3,223700,6,2,164810,0.1508
1,1,243400,2,3,223700,6,3,266820,0.1119
1,1,243400,2,3,223700,7,1,269500,0.1166
1,1,243400,2,3,223700,7,2,278840,0.1378
1,1,243400,2,3,223700,7,3,274760,0.0983
1,1,243400,2,3,223700,8,1,170430,0.1394
1,1,243400,2,3,223700,8,2,89370,0.1458
1,1,243400,2,3,223700,8,3,142120,0.1296
1,1,243400,3,1,110320,1,1,243400,0.0239
1,1,243400,3,1,110320,1,2,223010,0.0634
1,1,243400,3,1,110320,1,3,181870,0.0600
1,1,243400,3,1,110320,2,1,210550,0.1116
1,1,243400,3,1,110320,2,2,251930,0.1368
1,1,243400,3,1,110320,2,3,223700,0.1492
1,1,243400,3,1,110320,3,1,110320,0.0652
1,1,243400,3,1,110320,3,2,122580,0.0622
1,1,243400,3,1,110320,3,3,112370,0.0660
1,1,243400,3,1,110320,4,1,222600,0.2363
1,1,243400,3,1,110320,4,2,267800,0.1909
1,1,243400,3,1,110320,4,3,271990,0.2017
1,1,243400,3,1,110320,5,1,130490,0.1940
1,1,243400,3,1,110320,5,2,188720,0.1945
1,1,243400,3,1,110320,5,3,185380,0.1601
1,1,243400,3,1,110320,6,1,241880,0.1075
1,1,243400,3,1,110320,6,2,164810,0.1496
1,1,243400,3,1,110320,6,3,266820,0.1173
1,1,243400,3,1,110320,7,1,269500,0.1184
1,1,243400,3,1,110320,7,2,278840,0.1207
1,1,243400,3,1,110320,7,3,274760,0.0952
1,1,243400,3,1,110320,8,1,170430,0.1255
1,1,243400,3,1,110320,8,2,89370,0.1330
1,1,243400,3,1,110320,8,3,142120,0.1290
1,1,243400,3,2,122580,1,1,243400,0.0036
1,1,243400,3,2,122580,1,2,223010,0.0719
1,1,243400,3,2,122580,1,3,181870,0.0528
1,1,243400,3,2,122580,2,1,210550,0.1472
1,1,243400,3,2,122580,2,2,251930,0.1234
1,1,243400,3,2,122580,2,3,223700,0.1563
1,1,243400,3,2,122580,3,1,110320,0.0958
1,1,243400,3,2,122580,3,2,122580,0.0638
1,1,243400,3,2,122580,3,3,112370,0.0910
1,1,243400,3,2,122580,4,1,222600,0.2690
1,1,243400,3,2,122580,4,2,267800,0.2040
1,1,243400,3,2,122580,4,3,271990,0.2348
1,1,243400,3,2,122580,5,1,130490,0.2286
1,1,243400,3,2,122580,5,2,188720,0.3229
1,1,243400,3,2,122580,5,3,185380,0.2111
1,1,243400,3,2,122580,6,1,241880,0.1560
