train_who,train_porder,train_score,valid_who,valid_porder,valid_score,test_who,test_porder,test_score,f1_score
1,1,243400,1,1,243400,1,1,243400,1.0000
1,1,243400,1,1,243400,1,2,223010,0.9299
1,1,243400,1,1,243400,1,3,181870,0.9354
1,1,243400,1,1,243400,2,1,210550,0.7750
1,1,243400,1,1,243400,2,2,251930,0.7605
1,1,243400,1,1,243400,2,3,223700,0.7046
1,1,243400,1,1,243400,3,1,110320,0.8920
1,1,243400,1,1,243400,3,2,122580,0.9203
1,1,243400,1,1,243400,3,3,112370,0.9285
1,1,243400,1,1,243400,4,1,222600,0.8200
1,1,243400,1,1,243400,4,2,267800,0.8300
1,1,243400,1,1,243400,4,3,271990,0.8069
1,1,243400,1,1,243400,5,1,131210,0.8373
1,1,243400,1,1,243400,5,2,188720,0.8393
1,1,243400,1,1,243400,5,3,185380,0.8689
1,1,243400,1,1,243400,6,1,241880,0.8523
1,1,243400,1,1,243400,6,2,164810,0.8179
1,1,243400,1,1,243400,6,3,266820,0.8494
1,1,243400,1,1,243400,7,1,269500,0.8756
1,1,243400,1,1,243400,7,2,278840,0.8802
1,1,243400,1,1,243400,7,3,274760,0.9020
1,1,243400,1,1,243400,8,1,170430,0.8492
1,1,243400,1,1,243400,8,2,89370,0.7866
1,1,243400,1,1,243400,8,3,142120,0.8103
1,1,243400,1,2,223010,1,1,243400,1.0000
1,1,243400,1,2,223010,1,2,223010,0.9497
1,1,243400,1,2,223010,1,3,181870,0.9382
1,1,243400,1,2,223010,2,1,210550,0.7839
1,1,243400,1,2,223010,2,2,251930,0.8009
1,1,243400,1,2,223010,2,3,223700,0.7266
1,1,243400,1,2,223010,3,1,110320,0.9029
1,1,243400,1,2,223010,3,2,122580,0.9345
1,1,243400,1,2,223010,3,3,112370,0.9200
1,1,243400,1,2,223010,4,1,222600,0.8166
1,1,243400,1,2,223010,4,2,267800,0.8234
1,1,243400,1,2,223010,4,3,271990,0.8101
1,1,243400,1,2,223010,5,1,131210,0.8407
1,1,243400,1,2,223010,5,2,188720,0.8455
1,1,243400,1,2,223010,5,3,185380,0.8782
1,1,243400,1,2,223010,6,1,241880,0.8477
1,1,243400,1,2,223010,6,2,164810,0.8393
1,1,243400,1,2,223010,6,3,266820,0.8665
1,1,243400,1,2,223010,7,1,269500,0.8741
1,1,243400,1,2,223010,7,2,278840,0.8814
1,1,243400,1,2,223010,7,3,274760,0.8906
1,1,243400,1,2,223010,8,1,170430,0.8557
1,1,243400,1,2,223010,8,2,89370,0.7942
1,1,243400,1,2,223010,8,3,142120,0.8134
1,1,243400,1,3,181870,1,1,243400,1.0000
1,1,243400,1,3,181870,1,2,223010,0.9414
1,1,243400,1,3,181870,1,3,181870,0.9409
1,1,243400,1,3,181870,2,1,210550,0.7838
1,1,243400,1,3,181870,2,2,251930,0.7892
1,1,243400,1,3,181870,2,3,223700,0.7210
1,1,243400,1,3,181870,3,1,110320,0.9084
1,1,243400,1,3,181870,3,2,122580,0.9313
1,1,243400,1,3,181870,3,3,112370,0.9171
1,1,243400,1,3,181870,4,1,222600,0.8192
1,1,243400,1,3,181870,4,2,267800,0.8173
1,1,243400,1,3,181870,4,3,271990,0.8083
1,1,243400,1,3,181870,5,1,131210,0.8386
1,1,243400,1,3,181870,5,2,188720,0.8417
1,1,243400,1,3,181870,5,3,185380,0.8705
