train_who,train_porder,train_score,valid_who,valid_porder,valid_score,test_who,test_porder,test_score,f1_score
1,1,243400,1,1,243400,1,1,243400,1.0000
1,1,243400,1,1,243400,1,2,223010,0.9443
1,1,243400,1,1,243400,1,3,181870,0.9498
1,1,243400,1,1,243400,2,1,210550,0.7609
1,1,243400,1,1,243400,2,2,251930,0.7630
1,1,243400,1,1,243400,2,3,223700,0.7128
1,1,243400,1,1,243400,3,1,110320,0.8965
1,1,243400,1,1,243400,3,2,122580,0.9005
1,1,243400,1,1,243400,3,3,112370,0.8859
1,1,243400,1,1,243400,4,1,222600,0.8133
1,1,243400,1,1,243400,4,2,267800,0.8338
1,1,243400,1,1,243400,4,3,271990,0.8074
1,1,243400,1,1,243400,5,1,131210,0.8405
1,1,243400,1,1,243400,5,2,188720,0.8434
1,1,243400,1,1,243400,5,3,185380,0.8748
1,1,243400,1,1,243400,6,1,241880,0.8284
1,1,243400,1,1,243400,6,2,164810,0.8013
1,1,243400,1,1,243400,6,3,266820,0.8071
1,1,243400,1,1,243400,7,1,269500,0.8398
1,1,243400,1,1,243400,7,2,278840,0.8690
1,1,243400,1,1,243400,7,3,274760,0.8810
1,1,243400,1,1,243400,8,1,170430,0.8226
1,1,243400,1,1,243400,8,2,89370,0.7779
1,1,243400,1,1,243400,8,3,142120,0.8112
1,1,243400,1,2,223010,1,1,243400,1.0000
1,1,243400,1,2,223010,1,2,223010,0.9554
1,1,243400,1,2,223010,1,3,181870,0.9470
1,1,243400,1,2,223010,2,1,210550,0.7747
1,1,243400,1,2,223010,2,2,251930,0.7891
1,1,243400,1,2,223010,2,3,223700,0.7041
1,1,243400,1,2,223010,3,1,110320,0.8815
1,1,243400,1,2,223010,3,2,122580,0.9065
1,1,243400,1,2,223010,3,3,112370,0.8473
1,1,243400,1,2,223010,4,1,222600,0.8261
1,1,243400,1,2,223010,4,2,267800,0.8375
1,1,243400,1,2,223010,4,3,271990,0.8074
1,1,243400,1,2,223010,5,1,131210,0.8356
1,1,243400,1,2,223010,5,2,188720,0.8397
1,1,243400,1,2,223010,5,3,185380,0.8538
1,1,243400,1,2,223010,6,1,241880,0.7988
1,1,243400,1,2,223010,6,2,164810,0.8171
1,1,243400,1,2,223010,6,3,266820,0.7871
1,1,243400,1,2,223010,7,1,269500,0.8498
1,1,243400,1,2,223010,7,2,278840,0.8786
1,1,243400,1,2,223010,7,3,274760,0.8750
1,1,243400,1,2,223010,8,1,170430,0.8026
1,1,243400,1,2,223010,8,2,89370,0.7766
1,1,243400,1,2,223010,8,3,142120,0.8120
1,1,243400,1,3,181870,1,1,243400,1.0000
1,1,243400,1,3,181870,1,2,223010,0.9472
1,1,243400,1,3,181870,1,3,181870,0.9554
1,1,243400,1,3,181870,2,1,210550,0.7635
1,1,243400,1,3,181870,2,2,251930,0.7776
1,1,243400,1,3,181870,2,3,223700,0.7036
1,1,243400,1,3,181870,3,1,110320,0.8823
1,1,243400,1,3,181870,3,2,122580,0.8894
1,1,243400,1,3,181870,3,3,112370,0.8536
1,1,243400,1,3,181870,4,1,222600,0.8295
