train_who,train_porder,train_score,valid_who,valid_porder,valid_score,test_who,test_porder,test_score,f1_score
1,1,218710,1,1,218710,1,1,218710,1.0000
1,1,218710,1,1,218710,1,2,212760,0.8542
1,1,218710,1,1,218710,1,3,217700,0.8415
1,1,218710,1,1,218710,2,1,278300,0.7000
1,1,218710,1,1,218710,2,2,334990,0.7574
1,1,218710,1,1,218710,2,3,288720,0.7775
1,1,218710,1,1,218710,3,1,151190,0.7934
1,1,218710,1,1,218710,3,2,153970,0.7724
1,1,218710,1,1,218710,3,3,205220,0.7885
1,1,218710,1,1,218710,4,1,249230,0.7850
1,1,218710,1,1,218710,4,2,239230,0.8181
1,1,218710,1,1,218710,4,3,423770,0.7805
1,1,218710,1,1,218710,5,1,215530,0.7585
1,1,218710,1,1,218710,5,2,237050,0.7715
1,1,218710,1,1,218710,5,3,283810,0.7817
1,1,218710,1,1,218710,6,1,191410,0.6870
1,1,218710,1,1,218710,6,2,274640,0.6768
1,1,218710,1,1,218710,6,3,272550,0.6871
1,1,218710,1,1,218710,7,1,513030,0.8061
1,1,218710,1,1,218710,7,2,499780,0.8176
1,1,218710,1,1,218710,7,3,510050,0.8325
1,1,218710,1,1,218710,8,1,141760,0.7700
1,1,218710,1,1,218710,8,2,151390,0.7735
1,1,218710,1,1,218710,8,3,156050,0.7692
1,1,218710,1,2,212760,1,1,218710,0.9935
1,1,218710,1,2,212760,1,2,212760,0.8607
1,1,218710,1,2,212760,1,3,217700,0.8478
1,1,218710,1,2,212760,2,1,278300,0.7141
1,1,218710,1,2,212760,2,2,334990,0.7646
1,1,218710,1,2,212760,2,3,288720,0.7812
1,1,218710,1,2,212760,3,1,151190,0.7896
1,1,218710,1,2,212760,3,2,153970,0.7749
1,1,218710,1,2,212760,3,3,205220,0.7926
1,1,218710,1,2,212760,4,1,249230,0.7785
1,1,218710,1,2,212760,4,2,239230,0.8153
1,1,218710,1,2,212760,4,3,423770,0.7794
1,1,218710,1,2,212760,5,1,215530,0.7729
1,1,218710,1,2,212760,5,2,237050,0.7885
1,1,218710,1,2,212760,5,3,283810,0.7854
1,1,218710,1,2,212760,6,1,191410,0.7060
1,1,218710,1,2,212760,6,2,274640,0.6906
1,1,218710,1,2,212760,6,3,272550,0.7004
1,1,218710,1,2,212760,7,1,513030,0.8060
1,1,218710,1,2,212760,7,2,499780,0.8178
1,1,218710,1,2,212760,7,3,510050,0.8367
1,1,218710,1,2,212760,8,1,141760,0.7815
1,1,218710,1,2,212760,8,2,151390,0.7706
1,1,218710,1,2,212760,8,3,156050,0.7761
1,1,218710,1,3,217700,1,1,218710,0.9677
1,1,218710,1,3,217700,1,2,212760,0.8551
1,1,218710,1,3,217700,1,3,217700,0.8594
1,1,218710,1,3,217700,2,1,278300,0.7096
1,1,218710,1,3,217700,2,2,334990,0.7452
1,1,218710,1,3,217700,2,3,288720,0.7516
1,1,218710,1,3,217700,3,1,151190,0.7987
1,1,218710,1,3,217700,3,2,153970,0.7742
1,1,218710,1,3,217700,3,3,205220,0.8024
1,1,218710,1,3,217700,4,1,249230,0.7610
1,1,218710,1,3,217700,4,2,239230,0.8019
1,1,218710,1,3,217700,4,3,423770,0.7497
1,1,218710,1,3,217700,5,1,215530,0.7958
1,1,218710,1,3,217700,5,2,237050,0.8058
1,1,218710,1,3,217700,5,3,283810,0.8169
1,1,218710,1,3,217700,6,1,191410,0.7224
1,1,218710,1,3,217700,6,2,274640,0.7229
1,1,218710,1,3,217700,6,3,272550,0.7310
1,1,218710,1,3,217700,7,1,513030,0.8102
1,1,218710,1,3,217700,7,2,499780,0.8072
1,1,218710,1,3,217700,7,3,510050,0.8390
1,1,218710,1,3,217700,8,1,141760,0.7756
1,1,218710,1,3,217700,8,2,151390,0.7861
1,1,218710,1,3,217700,8,3,156050,0.7786
1,1,218710,2,1,278300,1,1,218710,0.9390
1,1,218710,2,1,278300,1,2,212760,0.8481
1,1,218710,2,1,278300,1,3,217700,0.8559
1,1,218710,2,1,278300,2,1,278300,0.7367
1,1,218710,2,1,278300,2,2,334990,0.7489
1,1,218710,2,1,278300,2,3,288720,0.7435
1,1,218710,2,1,278300,3,1,151190,0.8194
1,1,218710,2,1,278300,3,2,153970,0.8123
1,1,218710,2,1,278300,3,3,205220,0.8249
1,1,218710,2,1,278300,4,1,249230,0.7500
1,1,218710,2,1,278300,4,2,239230,0.7901
1,1,218710,2,1,278300,4,3,423770,0.7547
1,1,218710,2,1,278300,5,1,215530,0.7975
1,1,218710,2,1,278300,5,2,237050,0.8153
1,1,218710,2,1,278300,5,3,283810,0.8281
1,1,218710,2,1,278300,6,1,191410,0.7493
1,1,218710,2,1,278300,6,2,274640,0.7648
1,1,218710,2,1,278300,6,3,272550,0.7624
1,1,218710,2,1,278300,7,1,513030,0.8100
1,1,218710,2,1,278300,7,2,499780,0.8111
1,1,218710,2,1,278300,7,3,510050,0.8427
1,1,218710,2,1,278300,8,1,141760,0.7802
1,1,218710,2,1,278300,8,2,151390,0.7849
1,1,218710,2,1,278300,8,3,156050,0.7774
1,1,218710,2,2,334990,1,1,218710,0.9550
