train_who,train_porder,train_score,valid_who,valid_porder,valid_score,test_who,test_porder,test_score,f1_score
1,1,218710,1,1,218710,1,1,218710,1.0000
1,1,218710,1,1,218710,1,2,212760,0.8386
1,1,218710,1,1,218710,1,3,217700,0.8164
1,1,218710,1,1,218710,2,1,278300,0.6611
1,1,218710,1,1,218710,2,2,334990,0.6968
1,1,218710,1,1,218710,2,3,288720,0.6775
1,1,218710,1,1,218710,3,1,151190,0.6474
1,1,218710,1,1,218710,3,2,153970,0.6961
1,1,218710,1,1,218710,3,3,205220,0.7394
1,1,218710,1,1,218710,4,1,249230,0.7740
1,1,218710,1,1,218710,4,2,239230,0.8254
1,1,218710,1,1,218710,4,3,423770,0.7915
1,1,218710,1,1,218710,5,1,215530,0.7803
1,1,218710,1,1,218710,5,2,237050,0.8000
1,1,218710,1,1,218710,5,3,283810,0.7979
1,1,218710,1,1,218710,6,1,191410,0.7521
1,1,218710,1,1,218710,6,2,274640,0.7428
1,1,218710,1,1,218710,6,3,272550,0.7647
1,1,218710,1,1,218710,7,1,513030,0.7746
1,1,218710,1,1,218710,7,2,499780,0.8155
1,1,218710,1,1,218710,7,3,510050,0.8358
1,1,218710,1,1,218710,8,1,141760,0.7998
1,1,218710,1,1,218710,8,2,151390,0.7768
1,1,218710,1,1,218710,8,3,156050,0.7696
1,1,218710,1,2,212760,1,1,218710,0.9629
1,1,218710,1,2,212760,1,2,212760,0.8457
1,1,218710,1,2,212760,1,3,217700,0.8258
1,1,218710,1,2,212760,2,1,278300,0.6755
1,1,218710,1,2,212760,2,2,334990,0.7259
1,1,218710,1,2,212760,2,3,288720,0.6896
1,1,218710,1,2,212760,3,1,151190,0.6992
1,1,218710,1,2,212760,3,2,153970,0.7673
1,1,218710,1,2,212760,3,3,205220,0.7627
1,1,218710,1,2,212760,4,1,249230,0.7427
1,1,218710,1,2,212760,4,2,239230,0.7868
1,1,218710,1,2,212760,4,3,423770,0.7925
1,1,218710,1,2,212760,5,1,215530,0.8053
1,1,218710,1,2,212760,5,2,237050,0.8145
1,1,218710,1,2,212760,5,3,283810,0.8199
1,1,218710,1,2,212760,6,1,191410,0.7651
1,1,218710,1,2,212760,6,2,274640,0.7753
1,1,218710,1,2,212760,6,3,272550,0.7728
1,1,218710,1,2,212760,7,1,513030,0.7682
1,1,218710,1,2,212760,7,2,499780,0.8220
1,1,218710,1,2,212760,7,3,510050,0.8397
1,1,218710,1,2,212760,8,1,141760,0.7811
1,1,218710,1,2,212760,8,2,151390,0.7849
1,1,218710,1,2,212760,8,3,156050,0.7633
1,1,218710,1,3,217700,1,1,218710,1.0000
1,1,218710,1,3,217700,1,2,212760,0.8373
1,1,218710,1,3,217700,1,3,217700,0.8176
1,1,218710,1,3,217700,2,1,278300,0.6454
1,1,218710,1,3,217700,2,2,334990,0.6641
1,1,218710,1,3,217700,2,3,288720,0.6412
1,1,218710,1,3,217700,3,1,151190,0.6114
1,1,218710,1,3,217700,3,2,153970,0.6913
1,1,218710,1,3,217700,3,3,205220,0.7352
1,1,218710,1,3,217700,4,1,249230,0.7612
1,1,218710,1,3,217700,4,2,239230,0.8098
1,1,218710,1,3,217700,4,3,423770,0.7742
1,1,218710,1,3,217700,5,1,215530,0.7825
1,1,218710,1,3,217700,5,2,237050,0.7964
1,1,218710,1,3,217700,5,3,283810,0.7864
1,1,218710,1,3,217700,6,1,191410,0.7200
1,1,218710,1,3,217700,6,2,274640,0.7125
1,1,218710,1,3,217700,6,3,272550,0.7451
1,1,218710,1,3,217700,7,1,513030,0.7666
1,1,218710,1,3,217700,7,2,499780,0.8046
1,1,218710,1,3,217700,7,3,510050,0.8178
1,1,218710,1,3,217700,8,1,141760,0.7844
1,1,218710,1,3,217700,8,2,151390,0.7408
1,1,218710,1,3,217700,8,3,156050,0.7192
1,1,218710,2,1,278300,1,1,218710,0.9109
1,1,218710,2,1,278300,1,2,212760,0.8320
1,1,218710,2,1,278300,1,3,217700,0.8214
1,1,218710,2,1,278300,2,1,278300,0.6866
1,1,218710,2,1,278300,2,2,334990,0.6297
1,1,218710,2,1,278300,2,3,288720,0.6127
1,1,218710,2,1,278300,3,1,151190,0.6697
1,1,218710,2,1,278300,3,2,153970,0.7284
1,1,218710,2,1,278300,3,3,205220,0.7738
1,1,218710,2,1,278300,4,1,249230,0.6711
1,1,218710,2,1,278300,4,2,239230,0.6955
1,1,218710,2,1,278300,4,3,423770,0.7822
1,1,218710,2,1,278300,5,1,215530,0.8167
