train_who,train_porder,train_score,valid_who,valid_porder,valid_score,test_who,test_porder,test_score,multi_error
1,1,243400,1,1,243400,1,1,243400,0.0000
1,1,243400,1,1,243400,1,2,223010,0.0730
1,1,243400,1,1,243400,1,3,181870,0.0837
1,1,243400,1,1,243400,2,1,210550,0.1475
1,1,243400,1,1,243400,2,2,251930,0.1469
1,1,243400,1,1,243400,2,3,223700,0.1401
1,1,243400,1,1,243400,3,1,110320,0.1026
1,1,243400,1,1,243400,3,2,122580,0.0912
1,1,243400,1,1,243400,3,3,112370,0.1077
1,1,243400,1,1,243400,4,1,222600,0.3595
1,1,243400,1,1,243400,4,2,267800,0.2393
1,1,243400,1,1,243400,4,3,271990,0.2291
1,1,243400,1,1,243400,5,1,130490,0.2788
1,1,243400,1,1,243400,5,2,188720,0.3253
1,1,243400,1,1,243400,5,3,185380,0.2341
1,1,243400,1,1,243400,6,1,241880,0.1694
1,1,243400,1,1,243400,6,2,164810,0.1637
1,1,243400,1,1,243400,6,3,266820,0.1720
1,1,243400,1,1,243400,7,1,269500,0.1905
1,1,243400,1,1,243400,7,2,278840,0.2066
1,1,243400,1,1,243400,7,3,274760,0.1398
1,1,243400,1,1,243400,8,1,170430,0.1740
1,1,243400,1,1,243400,8,2,89370,0.2751
1,1,243400,1,1,243400,8,3,142120,0.2052
1,1,243400,1,2,223010,1,1,243400,0.0000
1,1,243400,1,2,223010,1,2,223010,0.0506
1,1,243400,1,2,223010,1,3,181870,0.0622
1,1,243400,1,2,223010,2,1,210550,0.1462
1,1,243400,1,2,223010,2,2,251930,0.1319
1,1,243400,1,2,223010,2,3,223700,0.1369
1,1,243400,1,2,223010,3,1,110320,0.0935
1,1,243400,1,2,223010,3,2,122580,0.0484
1,1,243400,1,2,223010,3,3,112370,0.0682
1,1,243400,1,2,223010,4,1,222600,0.3036
1,1,243400,1,2,223010,4,2,267800,0.2169
1,1,243400,1,2,223010,4,3,271990,0.2120
1,1,243400,1,2,223010,5,1,130490,0.2526
1,1,243400,1,2,223010,5,2,188720,0.3261
1,1,243400,1,2,223010,5,3,185380,0.2294
1,1,243400,1,2,223010,6,1,241880,0.1565
1,1,243400,1,2,223010,6,2,164810,0.1628
1,1,243400,1,2,223010,6,3,266820,0.1598
1,1,243400,1,2,223010,7,1,269500,0.1639
1,1,243400,1,2,223010,7,2,278840,0.1602
1,1,243400,1,2,223010,7,3,274760,0.1099
1,1,243400,1,2,223010,8,1,170430,0.1782
1,1,243400,1,2,223010,8,2,89370,0.2373
1,1,243400,1,2,223010,8,3,142120,0.1810
1,1,243400,1,3,181870,1,1,243400,0.0000
1,1,243400,1,3,181870,1,2,223010,0.0555
1,1,243400,1,3,181870,1,3,181870,0.0572
1,1,243400,1,3,181870,2,1,210550,0.1444
1,1,243400,1,3,181870,2,2,251930,0.1401
1,1,243400,1,3,181870,2,3,223700,0.1560
1,1,243400,1,3,181870,3,1,110320,0.0987
1,1,243400,1,3,181870,3,2,122580,0.0600
