train_who,train_porder,train_score,valid_who,valid_porder,valid_score,test_who,test_porder,test_score,multi_error
1,1,243400,1,1,243400,1,1,243400,0.0000
1,1,243400,1,1,243400,1,2,223010,0.0709
1,1,243400,1,1,243400,1,3,181870,0.0819
1,1,243400,1,1,243400,2,1,210550,0.1550
1,1,243400,1,1,243400,2,2,251930,0.1675
1,1,243400,1,1,243400,2,3,223700,0.1664
1,1,243400,1,1,243400,3,1,110320,0.1192
1,1,243400,1,1,243400,3,2,122580,0.0933
1,1,243400,1,1,243400,3,3,112370,0.1159
1,1,243400,1,1,243400,4,1,222600,0.3224
1,1,243400,1,1,243400,4,2,267800,0.2417
1,1,243400,1,1,243400,4,3,271990,0.2206
1,1,243400,1,1,243400,5,1,130490,0.2830
1,1,243400,1,1,243400,5,2,188720,0.3472
1,1,243400,1,1,243400,5,3,185380,0.2409
1,1,243400,1,1,243400,6,1,241880,0.1168
1,1,243400,1,1,243400,6,2,164810,0.1772
1,1,243400,1,1,243400,6,3,266820,0.1384
1,1,243400,1,1,243400,7,1,269500,0.1673
1,1,243400,1,1,243400,7,2,278840,0.1761
1,1,243400,1,1,243400,7,3,274760,0.1456
1,1,243400,1,1,243400,8,1,170430,0.1373
1,1,243400,1,1,243400,8,2,89370,0.2865
1,1,243400,1,1,243400,8,3,142120,0.1866
1,1,243400,1,2,223010,1,1,243400,0.0000
1,1,243400,1,2,223010,1,2,223010,0.0520
1,1,243400,1,2,223010,1,3,181870,0.0747
1,1,243400,1,2,223010,2,1,210550,0.1510
1,1,243400,1,2,223010,2,2,251930,0.1549
1,1,243400,1,2,223010,2,3,223700,0.1560
1,1,243400,1,2,223010,3,1,110320,0.1126
1,1,243400,1,2,223010,3,2,122580,0.0785
1,1,243400,1,2,223010,3,3,112370,0.1280
1,1,243400,1,2,223010,4,1,222600,0.3208
1,1,243400,1,2,223010,4,2,267800,0.2378
1,1,243400,1,2,223010,4,3,271990,0.2115
1,1,243400,1,2,223010,5,1,130490,0.2922
1,1,243400,1,2,223010,5,2,188720,0.3367
1,1,243400,1,2,223010,5,3,185380,0.2485
1,1,243400,1,2,223010,6,1,241880,0.1292
1,1,243400,1,2,223010,6,2,164810,0.1417
1,1,243400,1,2,223010,6,3,266820,0.1887
1,1,243400,1,2,223010,7,1,269500,0.1718
1,1,243400,1,2,223010,7,2,278840,0.1481
1,1,243400,1,2,223010,7,3,274760,0.1511
1,1,243400,1,2,223010,8,1,170430,0.1482
1,1,243400,1,2,223010,8,2,89370,0.2419
1,1,243400,1,2,223010,8,3,142120,0.1598
1,1,243400,1,3,181870,1,1,243400,0.0000
1,1,243400,1,3,181870,1,2,223010,0.0681
1,1,243400,1,3,181870,1,3,181870,0.0655
1,1,243400,1,3,181870,2,1,210550,0.1842
1,1,243400,1,3,181870,2,2,251930,0.1547
1,1,243400,1,3,181870,2,3,223700,0.1788
1,1,243400,1,3,181870,3,1,110320,0.1210
1,1,243400,1,3,181870,3,2,122580,0.0828
1,1,243400,1,3,181870,3,3,112370,0.1064
1,1,243400,1,3,181870,4,1,222600,0.3435
1,1,243400,1,3,181870,4,2,267800,0.2362
1,1,243400,1,3,181870,4,3,271990,0.2176
1,1,243400,1,3,181870,5,1,130490,0.2751
1,1,243400,1,3,181870,5,2,188720,0.3276
1,1,243400,1,3,181870,5,3,185380,0.2419
1,1,243400,1,3,181870,6,1,241880,0.1279
1,1,243400,1,3,181870,6,2,164810,0.1860
1,1,243400,1,3,181870,6,3,266820,0.2042
1,1,243400,1,3,181870,7,1,269500,0.1543
1,1,243400,1,3,181870,7,2,278840,0.1624
1,1,243400,1,3,181870,7,3,274760,0.1722
1,1,243400,1,3,181870,8,1,170430,0.1480
1,1,243400,1,3,181870,8,2,89370,0.2130
1,1,243400,1,3,181870,8,3,142120,0.1701
1,1,243400,2,1,210550,1,1,243400,0.0000
1,1,243400,2,1,210550,1,2,223010,0.0667
1,1,243400,2,1,210550,1,3,181870,0.0711
1,1,243400,2,1,210550,2,1,210550,0.1646
1,1,243400,2,1,210550,2,2,251930,0.1428
1,1,243400,2,1,210550,2,3,223700,0.1612
1,1,243400,2,1,210550,3,1,110320,0.0967
1,1,243400,2,1,210550,3,2,122580,0.0704
1,1,243400,2,1,210550,3,3,112370,0.0992
1,1,243400,2,1,210550,4,1,222600,0.3237
1,1,243400,2,1,210550,4,2,267800,0.2192
1,1,243400,2,1,210550,4,3,271990,0.2386
1,1,243400,2,1,210550,5,1,130490,0.2790
1,1,243400,2,1,210550,5,2,188720,0.3153
1,1,243400,2,1,210550,5,3,185380,0.2328
1,1,243400,2,1,210550,6,1,241880,0.1432
1,1,243400,2,1,210550,6,2,164810,0.1951
1,1,243400,2,1,210550,6,3,266820,0.1926
1,1,243400,2,1,210550,7,1,269500,0.1613
1,1,243400,2,1,210550,7,2,278840,0.1513
1,1,243400,2,1,210550,7,3,274760,0.1945
1,1,243400,2,1,210550,8,1,170430,0.1521
1,1,243400,2,1,210550,8,2,89370,0.2085
1,1,243400,2,1,210550,8,3,142120,0.1821
