train_who,train_porder,train_score,valid_who,valid_porder,valid_score,test_who,test_porder,test_score,multi_error
1,1,243400,1,1,243400,1,1,243400,0.0000
1,1,243400,1,1,243400,1,2,223010,0.0843
1,1,243400,1,1,243400,1,3,181870,0.0981
1,1,243400,1,1,243400,2,1,210550,0.1622
1,1,243400,1,1,243400,2,2,251930,0.1858
1,1,243400,1,1,243400,2,3,223700,0.1482
1,1,243400,1,1,243400,3,1,110320,0.1070
1,1,243400,1,1,243400,3,2,122580,0.0829
1,1,243400,1,1,243400,3,3,112370,0.0965
1,1,243400,1,1,243400,4,1,222600,0.3446
1,1,243400,1,1,243400,4,2,267800,0.2513
1,1,243400,1,1,243400,4,3,271990,0.2393
1,1,243400,1,1,243400,5,1,130490,0.2937
1,1,243400,1,1,243400,5,2,188720,0.3431
1,1,243400,1,1,243400,5,3,185380,0.2640
1,1,243400,1,1,243400,6,1,241880,0.0962
1,1,243400,1,1,243400,6,2,164810,0.2014
1,1,243400,1,1,243400,6,3,266820,0.1733
1,1,243400,1,1,243400,7,1,269500,0.1814
1,1,243400,1,1,243400,7,2,278840,0.2142
1,1,243400,1,1,243400,7,3,274760,0.1896
1,1,243400,1,1,243400,8,1,170430,0.1606
1,1,243400,1,1,243400,8,2,89370,0.2858
1,1,243400,1,1,243400,8,3,142120,0.1699
1,1,243400,1,2,223010,1,1,243400,0.0000
1,1,243400,1,2,223010,1,2,223010,0.0549
1,1,243400,1,2,223010,1,3,181870,0.0755
1,1,243400,1,2,223010,2,1,210550,0.1317
1,1,243400,1,2,223010,2,2,251930,0.1442
1,1,243400,1,2,223010,2,3,223700,0.1570
1,1,243400,1,2,223010,3,1,110320,0.0926
1,1,243400,1,2,223010,3,2,122580,0.0715
1,1,243400,1,2,223010,3,3,112370,0.0990
1,1,243400,1,2,223010,4,1,222600,0.3297
1,1,243400,1,2,223010,4,2,267800,0.2363
1,1,243400,1,2,223010,4,3,271990,0.2287
1,1,243400,1,2,223010,5,1,130490,0.2901
1,1,243400,1,2,223010,5,2,188720,0.2988
1,1,243400,1,2,223010,5,3,185380,0.2610
1,1,243400,1,2,223010,6,1,241880,0.1481
1,1,243400,1,2,223010,6,2,164810,0.2092
1,1,243400,1,2,223010,6,3,266820,0.1706
1,1,243400,1,2,223010,7,1,269500,0.1693
1,1,243400,1,2,223010,7,2,278840,0.1771
1,1,243400,1,2,223010,7,3,274760,0.1896
1,1,243400,1,2,223010,8,1,170430,0.1579
1,1,243400,1,2,223010,8,2,89370,0.2368
